id,code,name,description,executionDateLabel,reportDateToUse,validationStrategy,minDaysFromStart,sortOrder,allowGenerateNextVisit,autoGenerateEvent,blockEntryForm,displayGenerateEventBox,enableUserAssignment,generatedByEnrollmentDate,hideDueDate,openAfterEnrollment,preGenerateUID,referral,remindCompleted,repeatable,program,programStageSections,notificationTemplates,sharing
YGowWPumDia,NEOIPC_STG_ADM,Admission,The surveillance event where the patient admission is recorded.,Admission date,enrollmentDate,ON_COMPLETE,0,1,False,True,True,True,False,False,True,True,False,False,False,False,D8mSSpOpsKj,T3YHImiPJ9X,,NEOIPC_DATA_EDIT
BHWwaviIFvy,NEOIPC_STG_SURGERY,Surgical Procedure,The surveillance event where a surgical procedure performed on a patient is recorded.,Procedure date,,ON_COMPLETE,0,2,False,False,True,False,False,False,True,False,False,False,False,True,D8mSSpOpsKj,iaqYohF3EvA,,NEOIPC_DATA_EDIT
wDQxhhyAkEU,NEOIPC_STG_BSI,Primary Sepsis/BSI,The surveillance event where a primiary blood stream infection (including clinical sepsis) is recorded.,Infection date,,ON_COMPLETE,0,3,False,False,True,True,False,False,True,False,False,False,False,True,D8mSSpOpsKj,CwWYAFnE6jK Tf10VHJgyZR UZc6N0GOdhK in5ueev9PqV,DX5Ajjcp4Uk LCdmHuYIirI nwujz9Xb0En,NEOIPC_DATA_EDIT
Cp8UiWONR1B,NEOIPC_STG_NEC,Necrotizing enterocolitis,The surveillance event where a necrotizing enterocolitis (NEC) is recorded.,Infection date,,ON_COMPLETE,0,4,False,False,True,True,False,False,True,False,False,False,False,True,D8mSSpOpsKj,B3WJmZOdTJ3 NZAqufaJTwL YqlVWuPOBcn x4HWaYGqeB5 yuWQcD6kSTz,UhTbLuRAhwT rrg8grLZodN vWOak3a5wCP,NEOIPC_DATA_EDIT
cZhr3Wm2fc8,NEOIPC_STG_SSI,Surgical Site Infection,The surveillance event where a surgical site infection is recorded.,Infection date,,ON_COMPLETE,0,5,False,False,True,False,False,False,True,False,False,False,False,True,D8mSSpOpsKj,ACd7OsOs9Cx UD4BKztJGem VuAIMPIHrWE g4LMsgA5hHK lzLFjbrUcbs yhamIeNXB9y,GePNTDTpZpK SNGGeieIKpV aueIHVGchGS boFOiRidXJR pELBNBPjaGQ tAH1QllwtxU,NEOIPC_DATA_EDIT
gS3zQzPpsgV,NEOIPC_STG_HAP,Pneumonia,The surveillance event where a pneumonia is recorded.,Infection date,,ON_COMPLETE,0,6,False,False,True,True,False,False,True,False,False,False,False,True,D8mSSpOpsKj,MKfVh7MWUhF dgnxwEgpAX5 q3ZZZIcjfz0 rCilCYrCaij,FQmjcc9W6iU MA1jRHX31AG SXMwSqQKZcW jzT0S4O0z0g m1h25GElCvF rdnP1zDi9Ic,NEOIPC_DATA_EDIT
DDLi3OGC5Yh,NEOIPC_STG_SURV_END,Surveillance-End,The surveillance event where the end of surveillance and the aggregated risk factors are recorded.,Surveillance end date,,ON_COMPLETE,0,7,False,False,True,False,False,False,True,False,False,False,True,False,D8mSSpOpsKj,hIePMPYES5Q tHVxOumGxdW,,NEOIPC_DATA_EDIT
