id,code,name,shortName,formName,description,pattern,fieldMask,valueType,aggregationType,confidential,displayInListNoProgram,displayOnVisitSchedule,generated,inherit,orgunitScope,skipSynchronization,unique,optionSet,legendSets,sharing
E5OMg8BC8be,NEOIPC_TEA_SEX,NeoIPC Patient Sex,NeoIPC Pat. Sex,Sex,"Typically the phenotypic sex of the patient. If sex cannot be determined from the patient's phenotype or genotype, or if the genotype is neither XX nor XY, it is considered undetermined for purposes of surveillance.",,,LETTER,NONE,False,False,False,False,False,False,False,False,R2yCnsqxamL,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
Qyu9KOWyazL,NeoIPC_TEA_TOTAL_GESTATION_DAYS,NeoIPC Patient Total gestation days,NeoIPC Pat. Tot. gest. days,Total gestation days,The total number of completed gestation days at the time of birth. This field is automatically calculated from the gestational age field.,,,INTEGER_ZERO_OR_POSITIVE,NONE,False,False,False,False,False,False,False,False,,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
RWgBBhSiu5U,NEOIPC_TEA_SIBLINGS,NeoIPC Patient Infants in birth,NeoIPC Pat. Infants,Number of infants in birth,The number of infants delivered from the (multiple) pregnancy this infant belongs to. Please report the total number of infants including the one you are recording here.,,,INTEGER_POSITIVE,NONE,False,False,False,False,False,False,False,False,,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
ZbL9VmLRB6D,NEOIPC_TEA_BIRTH_WEIGHT,NeoIPC Patient Birth weight,NeoIPC Pat. BW,Birth weight,The infant’s weight immediately after birth in grams. Typically this value is based on a measurement but in case the birth weigth is unknown or has a highly pathological value that does not reflect the maturity of the infant (e.g. hydrops fetalis) you can enter the birth weight that is estimated by the treating physician.,,,INTEGER_POSITIVE,AVERAGE,False,True,False,False,False,False,False,False,,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
q2ijTWehrUh,NEOIPC_TEA_MULTIPLE_BIRTH,NeoIPC Patient Multiple birth,NeoIPC Pat. Mult. birth,Multiple birth,Check this field if the infant is part of a multiple birth.,,,TRUE_ONLY,NONE,False,False,False,False,False,False,False,False,,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
qLGOhTzMVyY,NEOIPC_TEA_GEST_AGE,NeoIPC Patient Gestational age,NeoIPC Pat. GA,"Gestational age (weeks and days e.g. 25+4) ","The gestational age, expressed in completed weeks and days (e.g., 25 weeks and 4 days: 25+4) at the time of birth. Typically this refers to the gestational age as it was calculated or estimated by the mother's obstetrician but where this is not available (e.g. in unobserved pregnancies) the gestational age assesed by the treating physician (e.g. via the Ballard score) may be recorded.",,\d\d+\d,TEXT,NONE,False,True,False,False,False,False,False,False,,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
r0fqpUF1IF4,NEOIPC_TEA_DELIVERY_MODE,NeoIPC Patient Delivery mode,NeoIPC Pat. Delivery mode,Delivery mode,"The mode of the infant's delivery. This can be either vaginal (including assisted vaginal delivery), elective caesarean section or emergency caesarean section.",,,INTEGER_POSITIVE,NONE,False,False,False,False,False,False,False,False,JQWbW9J3xGv,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
yQwpowV0o08,NEOIPC_PATIENT_ID,NeoIPC Patient Identifier,NeoIPC Pat. Id,NeoIPC patient identifier,"Use this identifier to uniquely identify a patient in the system. Ideally use an unique random string of characters. If have a requirement to identify a patient you have entered here, you can use this identifier as the NeoIPC key for pseudonymization. NEVER use an identifier that is used anywhere else and that you do not fully control (e.g. do NOT use the patient id from your hospital information system).",,,TEXT,NONE,False,False,False,False,False,True,False,True,,,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
