id,code,name,shortName,description,valueType,mandatory,unique,objectTypes,categoryAttribute,categoryOptionAttribute,categoryOptionComboAttribute,categoryOptionGroupAttribute,categoryOptionGroupSetAttribute,constantAttribute,dataElementAttribute,dataElementGroupAttribute,dataElementGroupSetAttribute,dataSetAttribute,documentAttribute,eventChartAttribute,eventReportAttribute,indicatorAttribute,indicatorGroupAttribute,legendSetAttribute,mapAttribute,optionAttribute,optionSetAttribute,organisationUnitAttribute,organisationUnitGroupAttribute,organisationUnitGroupSetAttribute,programAttribute,programIndicatorAttribute,programStageAttribute,relationshipTypeAttribute,sectionAttribute,sqlViewAttribute,trackedEntityAttributeAttribute,trackedEntityTypeAttribute,userAttribute,userGroupAttribute,validationRuleAttribute,validationRuleGroupAttribute,visualizationAttribute,sharing
vVnySvWz1jc,IsTestunit,IsTestunit,IsTestunit,,TRUE_ONLY,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
QdWREB9i6r3,NEODECO_BASELINE_START,NeoDECO Baseline Start,,,DATE,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
gZKXXSO2Oqo,NEODECO_INTERVENTION_END,NeoDECO Intervention End,,,DATE,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
LnfELKM5njh,NEODECO_INTERVENTION_START,NeoDECO Intervention Start,,,DATE,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
sUIaJabCLli,NEODECO_RR_SURVEILLANCE_END,NeoDECO Surveillance end for restricted randomisation,,,DATE,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------"",""userGroups"":{""EksssaYw4el"":{""displayName"":""NeoIPC"",""access"":""r-------"",""id"":""EksssaYw4el""}}}"
QMtyyuercQf,OPERATIONAL_CONTACT,Operational Contact,Op. Contact,The person to contact for operational issues.,TEXT,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------""}"
ZqC7qKHn4Qo,REPRESENTATIVE,Representative,Rep.,"The person legally representing this organisation unit. Ideally both, name and role.",TEXT,False,False,ORGANISATION_UNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"{""public"":""--------""}"
