id,code,name,programRuleVariableSourceType,valueType,useCodeForOptionSet,program,dataElement,trackedEntityAttribute,programStage,sharing
lKFysrSpWXl,NEOIPC_BSI_WBC_CUR,NeoIPC BSI White blood cell count value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,si9TqVvY3ZS,,,
oXSjz4J8qhR,NEOIPC_BSI_WHITE_BLOOD_CELL_COUNT_COUNT,NeoIPC BSI White blood cell count count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
SrThI1xjFSb,NEOIPC_GEST_AGE_TEA,NeoIPC Patient Gestational age value,TEI_ATTRIBUTE,TEXT,False,D8mSSpOpsKj,,qLGOhTzMVyY,,
CcUoIeTuoiL,NEOIPC_HAP_AGENT_1_NAME_CUR,NeoIPC HAP Pathogen 1 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,QSJW6kNk6pg,,,
egRSm0rPYuy,NEOIPC_HAP_AGENT_1_SOURCE_CUR,NeoIPC HAP Pathogen 1 source value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,True,D8mSSpOpsKj,nvEHBVmPZpF,,,
SIxriqS4Vnx,NEOIPC_HAP_AGENT_2_NAME_CUR,NeoIPC HAP Pathogen 2 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,ljbFGymMZzt,,,
BGePRgovFXD,NEOIPC_HAP_AGENT_2_SOURCE_CUR,NeoIPC HAP Pathogen 2 source value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,True,D8mSSpOpsKj,GIQw0w15XbC,,,
LVa8KGoMSbQ,NEOIPC_HAP_AGENT_3_NAME_CUR,NeoIPC HAP Pathogen 3 name value,DATAELEMENT_CURRENT_EVENT,TEXT,False,D8mSSpOpsKj,KGjHtWcPkP9,,,
I6BPuCiatwv,NEOIPC_HAP_AGENT_3_SOURCE_CUR,NeoIPC HAP Pathogen 3 source value,DATAELEMENT_CURRENT_EVENT,INTEGER_POSITIVE,True,D8mSSpOpsKj,YdP1whGQD3c,,,
ZM6JQBJX0kM,NEOIPC_HAP_AGENT_DETECTED_IN_LOW_RESP_TRACT,NeoIPC HAP Pathogen detected in lower respiratory tract,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
LEeKfU7tbP4,NEOIPC_HAP_BRADYCARDIA_CUR,NeoIPC HAP Bradycardia value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,False,D8mSSpOpsKj,J375l07wpEG,,,
ulqxi5y7GUi,NEOIPC_HAP_BRADYCARDIA_UINT,NeoIPC HAP Bradycardia uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
