id,code,name,level,offlineLevels,sharing
YR0TTHla2JQ,NEOIPC_OU_LV_1,Reference Centre,1,1,
iFJGSLdXYIi,NEOIPC_OU_LV_2,Country,2,2,
wb10bKLJpVj,NEOIPC_OU_LV_3,Hospital,3,3,
zjgC9x4XmFO,NEOIPC_OU_LV_4,Department,4,4,
aOWQ65o8UaE,NEOIPC_OU_LV_5,5,5,5,
