id,code,name,shortName,description,optionSet,options,sharing
kJV1THN7Qou,J01ED,Long-acting sulfonamides,Long-acting sulfonamides,This group comprises sulfonamides with a biological half-life of approx. 35 hours or more.,JE7ECBWKhWD,FuEJBbwLVlK KJwERkqtOSy QiyvqLlGwgO WNQrjF9slXa fewkHAzzujX n5bNwQ5hrqj nCFsp53NaVM rFOiGNaPM3m yetobgFQlJq,PUBLIC_RW
iDNrR6N4GpZ,J01EE,"Combinations of sulfonamides and trimethoprim, incl. derivatives",Combinations of sulfonamides and trimethoprim,,JE7ECBWKhWD,NmzIPHhScsq SY0lnKGgrwU eCkP7rifBsI j0a8ds3kLH6 kYsF0N8OmMv nu68jjCudZY vAqYdqxwlif,PUBLIC_RW
dJ30FD4K1Xw,J01FA,Macrolides,Macrolides,,JE7ECBWKhWD,CLxbyjFwkf0 IXBSSq76Oxx IcJtiP9S3RZ SJuAp6rOWsm WUTORZ36FPu Zotu0fO3Jjw afLqOehtZcX ah8j5NfT3JH ezKYAtBGWcy gNJUPor94MA kEL30QuPzgK kvXuGJ4805M o1WufwdB69r wEJDvsSi892 x9ZCw043HWf,PUBLIC_RW
qHfynvPEyUS,J01FF,Lincosamides,Lincosamides,,JE7ECBWKhWD,RpWSH6CGDiq Y80FdibWPOk,PUBLIC_RW
uD7DCbZfUzs,J01FG,Streptogramins,Streptogramins,,JE7ECBWKhWD,BCQPxHXOqTZ kJrEYBdobei,PUBLIC_RW
gYZHNgL1LMn,J01GA,Streptomycins,Streptomycins,,JE7ECBWKhWD,O9MsUA2QD8L q9cJxy7Gap5,PUBLIC_RW
GfxNqaPezMZ,J01GB,Other aminoglycosides,Aminoglycosides,,JE7ECBWKhWD,BFtgSkZoPAz Hac0rNUdtCf HhE3aAdC49m LO23w0ht5AI LpC3bA4dDaN bkIxV5QE8yl dxbfPHRMr40 fgVenkfT00I h5paN4FxUMX kCYDnie5RS3 lEGXROtbSoU wq831NYrQ4l yMTXj4oOFTp,PUBLIC_RW
TdX0hsR4MSp,J01MA,Fluoroquinolones,Fluoroquinolones,,JE7ECBWKhWD,AQpJWlwdyZj C0If4sJar2p FZrG1YPuhQl GWNKixs3OuQ IJM8Yf9VZyt L9bw2nI4NKu O4k1lgJGXNf PAIkF5iurSJ Qivrgzep9LM Rj7qFSNw3UC S8zin1omsJJ TuyRdAFZq71 YZcQgD0BoUt Z3zwiAxQH7n c4tfPpq0bMC dDBogUwp35b exRcdxApdtk hD85g42ZGT0 kKGjTVq8Wp1 lj6J2X4bia5 ocbuL7He1sK rIaGP2VUcXw sTSJDE7NP8G xmLXP9wfe3D,PUBLIC_RW
mEj1Bsgn7hc,J01MB,Other quinolones,Other quinolones,,JE7ECBWKhWD,AuF8MPNoXqi JP6EQFTxKc7 cXHaA2qybSF knl320v4bnk lymTaRasRbS pVY3sJxhLmS yOZN2VU2kNT,PUBLIC_RW
dbaH76JauTC,J01XA,Glycopeptide antibacterials,Glycopeptides,"This group comprises glycopeptide antibacterials, inhibiting the cell wall synthesis of gram positive bacteria. Lipoglycopeptide antibacterials are also included in this group. Teicoplanin and intravenous preparations of vancomycin are classified in this group. Oral formulations containing vancomycin are classified in A07A.",JE7ECBWKhWD,C2rfws1iNmc I9FcYCOM0zb Um5nF1EeijI aEFWfoN3mNg wln64QZJ27y,PUBLIC_RW
ga2InMWlLxn,J01XB,Polymyxins,Polymyxins,This group comprises polymyxin antibacterials acting on the bacterial cytoplasm membrane.,JE7ECBWKhWD,RfzFQDGwMhV XlESR1u3sw1,PUBLIC_RW
Wvhsh2hNAmm,J01XC,Steroid antibacterials,Steroid antibacterials,"This group comprises steroid antibacterials, inhibiting the binding of bacterial transfer-RNA and the 50-S part of the ribosomes.",JE7ECBWKhWD,v7ZLqJgF6Cr,PUBLIC_RW
iFdzM9V7upR,J01XD,Imidazole derivatives,Imidazoles,"This group comprises imidazole antibacterials acting through active metabolites in anaerobic bacteria. Only formulations for parenteral use of e.g. metronidazole are classified in this group. Oral formulations and suppositories of imidazole derivatives are classified in P01 - Antiprotozoals. Pessaries are classified in G01 - Gynecological antiinfectives and antiseptics.
The DDDs for the parenteral imidazole formulations are based on the treatment of anaerobic bacteria infections.",JE7ECBWKhWD,ExgdhSp9ILl z0hleaHtgsA zUSjQK0nOWa,PUBLIC_RW
ftSPbuQGokT,J01XE,Nitrofuran derivatives,Nitrofuran derivatives,,JE7ECBWKhWD,B4Gwcd2zZ7Q nO6kpWFM4vm upe3dqNvaw5,PUBLIC_RW
zARSMdyFU6C,J01XX,Other antibacterials,Other,,JE7ECBWKhWD,D2LsdfvQ4Ea DU3LJ1o60wu W088Dc4DjOR XELKUnb9NDJ dilLEsMwGFN mF2lAnbeJdx olAcezSdE16,PUBLIC_RW
iV82cliCXMK,J04AB,Antimycobacterial Antibiotics,Antimycobacterial Antibiotics,"This group comprises antibiotics specifically used in tuberculosis, except streptomycin - see comment under J04AM. Other antibiotics, see J01 -Antibacterials for systemic use.",JE7ECBWKhWD,Ah386buvfHN,PUBLIC_RW
x7cA9Ie15Nr,P01AB,Antiprotozoal Nitroimidazole derivatives,Antiprotozoal Nitroimidazole derivatives,,JE7ECBWKhWD,tnN4LizhpbG,PUBLIC_RW
DwIHnRhQn2Z,WHO_AWARE_ACCESS,AWaRe Access,AWaRe A,Access antibiotics that have a narrow spectrum of activity and a good safety profile in terms of side-effects.,JE7ECBWKhWD,B4Gwcd2zZ7Q B9hdibOQDMU CJsYFexRPqw CTakKS8rYd6 CtBbxv0XnUZ DBgoGEWjXnI Dd9eqGYjeni EKZAVJeo4sW EsNSvpXujPq ExgdhSp9ILl Fm1fLc2ogvz FuEJBbwLVlK Fub71Z4fEsU GSF5AOKntDx Gk2wlpDg4vI HZVf6vQG9Y2 HdaBZvOwR8s Ht0Obgapzyx IR2wfKl0Boj J5XsgIP3pnl JoL9vS4WKfP K1RGRbtefv1 KA1ufc05vH9 KJwERkqtOSy KMhv2lLz3wD MUxIW4a5bkS MWbExzBDaFV MeVOUbW5Mqs NmzIPHhScsq NtejSLubTdn OYea0BPAHFy QiyvqLlGwgO RLnkp7HJdc1 SY0lnKGgrwU Szq5nZXDtM8 UfYO1jVG7HX WNQrjF9slXa WaJOtCmhvk0 XR9MAhsrdFp XfugL2h0YI1 Y80FdibWPOk a5RbJTV6mSn aXPmSh0LTZ6 bkIxV5QE8yl ckSV9Hz3jDI clW09reSbmE drqW6KTjryx dxbfPHRMr40 eCkP7rifBsI eREQMc9ePhg euWP5HTM6XY fewkHAzzujX fyPDGZivw5e g9jC154mCbw i8GqTUClpjv icGxyvPIRfn j0a8ds3kLH6 kYsF0N8OmMv lOhhveUOdi2 lqejf7R4WxF m5NTMsdatlV mF2lAnbeJdx n5bNwQ5hrqj nCFsp53NaVM nO6kpWFM4vm nu68jjCudZY oyq7DSZp6s3 q0EViRCoF4Z qF76v7pYcQB rFOiGNaPM3m tPyuLKX3Nov teVqbeyyqoR tnN4LizhpbG upe3dqNvaw5 vAqYdqxwlif vOzEUfAkw3l vSZD1wLwbi0 wUoB7PgZ0Ah whzK5g3TolJ wj1xKqEiNgB wrWTZF6lYe7 yetobgFQlJq z0hleaHtgsA zUSjQK0nOWa,PUBLIC_RW
v2GD6NFtYce,WHO_AWARE_RESERVE,AWaRe Reserve,AWaRe R,Reserve antibiotics that are last-choice antibiotics used to treat multidrug-resistant infections.,JE7ECBWKhWD,C2rfws1iNmc D2LsdfvQ4Ea DU3LJ1o60wu DXOi3v5r80c FafuLZ0TCQB HLhwZeY0GfO J4aqp9VQv8h LO23w0ht5AI RfzFQDGwMhV Um5nF1EeijI W088Dc4DjOR XELKUnb9NDJ XlESR1u3sw1 ZMbxdFJSRHv aEFWfoN3mNg aWk758woDJJ bX4G1ZjKmYp dilLEsMwGFN e4u6T3Hm3k1 jfcpReSzKbJ kJrEYBdobei l71AwrNPMJb oSTPFlZ4w0J q0jwM8EzgZT vTKec0ypRE5 wfBk7uXYylb xOjEfw77Jp1,PUBLIC_RW
O8M678OescV,WHO_AWARE_WATCH,AWaRe Watch,AWaRe W,Watch antibiotics that are broader-spectrum antibiotics and are recommended as first-choice options for patients with more severe clinical presentations or for infections where the causative pathogens are more likely to be resistant to Access antibiotics.,JE7ECBWKhWD,ABdYymTcUaE AQpJWlwdyZj Ah386buvfHN AuF8MPNoXqi B25ZmELO4FH BCQPxHXOqTZ BDi3tKehdr0 BDsKg9aINcZ BFtgSkZoPAz C0If4sJar2p CLxbyjFwkf0 D0a4ISteucb DBLx7kzM3Jp DovgQYwf2f4 EZQvSoIKL68 F89ZMLxRreC FZrG1YPuhQl FasUMdSiwbm GWNKixs3OuQ Hac0rNUdtCf HhE3aAdC49m I9FcYCOM0zb IJM8Yf9VZyt IXBSSq76Oxx IcJtiP9S3RZ IcqQoK26aLs IimPvMOoW8u JP6EQFTxKc7 Jpnmz29PLHl KodArjMN409 L4f65JsDPAx L9bw2nI4NKu LpC3bA4dDaN MAwF1hnyQP2 MSboASD3vmD MYcrek1UGqn NJTFrA0fHkp O4k1lgJGXNf O9MsUA2QD8L PAIkF5iurSJ QVGAl952hUH Qivrgzep9LM Rj7qFSNw3UC RpWSH6CGDiq S8zin1omsJJ SJuAp6rOWsm SmOflKneU3H Sonl8Yy30GM T7Di4Motufa TuyRdAFZq71 UweyroiVNdS Vbg2MdpiAvF WUTORZ36FPu WqGvmmEcN6W YZcQgD0BoUt Yg9u1jV3Wai YnPb2HjBEZ7 Z3zwiAxQH7n Zotu0fO3Jjw aWdrBDfMLuj afLqOehtZcX ah8j5NfT3JH bWmTkHGrJPd beOuqmCjB15 bzo2vnE3q4X c4tfPpq0bMC cXHaA2qybSF dDBogUwp35b dnKIiv9g0en eR6CkG4nLmE eTSN2Upd8Zl exRcdxApdtk ezKYAtBGWcy f5GOCP6N8pR f7VDEGxaXMh fgVenkfT00I gNJUPor94MA gOIUBBsTwdy h3bHcojuSOD h5paN4FxUMX hBpbRGu4iCU hD85g42ZGT0 hkf68AHy2Eq jd7sTyqUWwX k9AJjs6oYya kCYDnie5RS3 kEL30QuPzgK kKGjTVq8Wp1 kSJwC86gDF7 knl320v4bnk ksSjFBGNQmz kvXuGJ4805M lEGXROtbSoU lOIEBsRa9Yq lfgHPqrk5KV lj6J2X4bia5 lymTaRasRbS lzHCysFK3Lv m9IgwilTzoL o1WufwdB69r oXZe07hlqu1 ocbuL7He1sK okKJpz8YwNx olAcezSdE16 pVY3sJxhLmS pwVkxBvlX74 q9cJxy7Gap5 rIaGP2VUcXw rOVICwcsUyu sTSJDE7NP8G sTUyZwj2OKH tYDCBgcmsx0 tc2snbal4yr u1yVNF7beqG usjx0e7XFNy v7ZLqJgF6Cr vCOj6NzZXhy vajnxdbL5ul wEJDvsSi892 wTJyIrSaEM5 wl0Ooc8P253 wln64QZJ27y wq831NYrQ4l wsB6jTaegcl x9ZCw043HWf xHRYQkcVqpm xmLXP9wfe3D y8P0JTL9UNs yMTXj4oOFTp yOZN2VU2kNT,PUBLIC_RW
