id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
j19SWnLFzry,DISPLAYKEYVALUEPAIR,Debug,expressions/programRules/NeoIPC BSI Debug rule/j19SWnLFzry.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
j5DIP0YYUAC,HIDEFIELD,,,,,ehrBTKxrBMo,WLSUlJPMueQ,,,,,,,
jddhCiSsOeM,HIDESECTION,,,,,spEjGdHfvrV,,,ACd7OsOs9Cx,,,,,
jkyMli18aRl,DISPLAYKEYVALUEPAIR,Antibiotic treatment not,expressions/programRules/NeoIPC BSI Debug rule/jkyMli18aRl.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
kFbylFQ0HpU,SENDMESSAGE,,,,SNGGeieIKpV,DSpI9KsaGfg,,,,,,,,
kGRrYYxGAzx,DISPLAYKEYVALUEPAIR,Admission completed,expressions/programRules/NeoIPC Patient Show feedback for _Admission Completed_/kGRrYYxGAzx.data.dhis2,feedback,,AOJtrTQg1ZP,,,,,,,,
kGd7F503CGl,SETMANDATORYFIELD,,,,,g0UvhlAN4r6,,RWgBBhSiu5U,,,,,,
kHGvWBogR4L,SENDMESSAGE,,,,nwujz9Xb0En,DmK7JLV94nY,,,,,,,,
kRW5Q0ZiYHH,HIDEFIELD,,,,,ehrBTKxrBMo,mwbe730vMBu,,,,,,,
kUu5iHyWqJP,HIDESECTION,,,,,VOrixcs1pS7,,,UZc6N0GOdhK,,,,,
kV6T5wgFKb4,SETMANDATORYFIELD,,,,,JkpbIBpvrfh,wYnfg9LtR1b,,,,,,,
keCrtq3RtkZ,ASSIGN,,expressions/programRules/NeoIPC Surveillance end Patient days - set/keCrtq3RtkZ.data.dhis2,,,ECeGbWVvXFf,Xn8q3giOGcB,,,,,,,
kitTSOXAMz3,HIDEFIELD,,,,,uitFTLJmYup,y89nfwG2uxQ,,,,,,,
kzoXqjNgYYY,SENDMESSAGE,,,,m1h25GElCvF,c0SJorJb5mJ,,,,,,,,
l6FEIsHlp6c,DISPLAYKEYVALUEPAIR,Pathogen 1 is recovered multiple times,expressions/programRules/NeoIPC BSI Debug rule/l6FEIsHlp6c.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
lS1EfjpNob7,HIDEFIELD,,,,,uitFTLJmYup,asaXrcFOqqf,,,,,,,
lSLrT7auxYc,DISPLAYKEYVALUEPAIR,Pathogen 1 is recognized pathogen,expressions/programRules/NeoIPC BSI Debug rule/lSLrT7auxYc.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
lfZfbt37OQp,ASSIGN,#{NeoIPC BSI Platelet count count},expressions/programRules/NeoIPC BSI Platelet count set count/lfZfbt37OQp.data.dhis2,,,yJvQVT3rIX1,,,,,,,,
lsLr3O3AZuk,ASSIGN,#{NeoIPC HAP Clinical criteria fulfilled},expressions/programRules/NeoIPC HAP Clinical criteria fulfilled - assign false/lsLr3O3AZuk.data.dhis2,,,Vq5RQpOCc5S,,,,,,,,
lueG3PXCahd,HIDEFIELD,,,,,uitFTLJmYup,snmuo3tXYtO,,,,,,,
m0l4Urbiw8c,ASSIGN,#{NeoIPC HAP Microbiological test result uint value},expressions/programRules/NeoIPC HAP Virus detected or NeoIPC HAP Lower respiratory tract sample positive/m0l4Urbiw8c.data.dhis2,,,LjBpqQJlAwH,,,,,,,,
mGBpog8R7JV,SETMANDATORYFIELD,,,,,oU67Orv3grn,HkACxREEfaT,,,,,,,
mU8PpZOXyNx,HIDEFIELD,,,,,cnyYkKWdFSV,gHkAMS4qCJV,,,,,,,
maMCK23v1M9,ASSIGN,#{NeoIPC BSI Bradycardia count},expressions/programRules/NeoIPC BSI Bradycardia set count/maMCK23v1M9.data.dhis2,,,IUEm8aeu991,,,,,,,,
mpiwVbg7cLd,ASSIGN,#{NeoIPC HAP Respiratory support criterion fulfilled},expressions/programRules/NeoIPC HAP Respiratory support criterion fulfilled - assign false/mpiwVbg7cLd.data.dhis2,,,h0dQA0XH9E5,,,,,,,,
nEG5GsYT2Z1,DISPLAYKEYVALUEPAIR,Pathogen 2 is recognized pathogen,expressions/programRules/NeoIPC BSI Debug rule/nEG5GsYT2Z1.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
nUSeExvLsb3,HIDEFIELD,,,,,cnyYkKWdFSV,A3E5ORnXeDq,,,,,,,
nXkfwkkiZWH,ASSIGN,#{NeoIPC NEC Surgical findings criterion fulfilled},expressions/programRules/NeoIPC NEC Surgical findings criterion fulfilled - assign true/nXkfwkkiZWH.data.dhis2,,,B4jHFueC2Cn,,,,,,,,
nkB4VlEfpCv,ASSIGN,#{NeoIPC NEC Pneumoperitoneum uint value},expressions/programRules/NeoIPC NEC Pneumoperitoneum value - true/nkB4VlEfpCv.data.dhis2,,,gtxIgGD5Y3R,,,,,,,,
nmaWTh7wUXA,HIDESECTION,,,,,bBy2KAwRXCW,,,ACd7OsOs9Cx,,,,,
o43kYUtH9H6,DISPLAYKEYVALUEPAIR,Antibiotic treatment not false,expressions/programRules/NeoIPC BSI Debug rule/o43kYUtH9H6.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
oDejX7JqPrQ,HIDEFIELD,,,,,jhW8xHnD8YD,hZIGItoWMLG,,,,,,,
ocEhZAtP6by,ASSIGN,#{NeoIPC HAP Pathogen 3 is virus},expressions/programRules/NeoIPC HAP - set virus/ocEhZAtP6by.data.dhis2,,,LZQHeUvyjfJ,,,,,,,,
odKR6nYRF6x,HIDESECTION,,,,,cnyYkKWdFSV,,,lzLFjbrUcbs,,,,,
ollB07QBNqE,ASSIGN,#{NeoIPC NEC Vomiting uint value},expressions/programRules/NeoIPC NEC Vomiting value - true/ollB07QBNqE.data.dhis2,,,erHsTIz7fkO,,,,,,,,
pCAJNJGHs5z,SHOWERROR,"For transferred or re-admitted patients an infection is only considered a nosocomial infection if the day of symptom onset is greater than or equal to day 3 of the patient’s  hospital stay, where the day of admission is regarded as day 1. Please see chapter 3.4 of the NeoIPC Surveillance Protocol for the rules.",,,,zCTvQxtGvUp,f22ppOLUE5q,,,,,,,
pcLASMzDgRQ,HIDEFIELD,,,,,ehrBTKxrBMo,CUlXZ8ETgJB,,,,,,,
prr5HUikjWC,ASSIGN,#{NeoIPC BSI Feeding intolerance count},expressions/programRules/NeoIPC BSI Feeding intolerance set count/prr5HUikjWC.data.dhis2,,,uZ76n1VW5ew,,,,,,,,
pv5FaamSoG4,DISPLAYKEYVALUEPAIR,Clinical/laboratory criteria count,expressions/programRules/NeoIPC HAP - display feedback/pv5FaamSoG4.data.dhis2,feedback,,rb0tjhQtZF2,,,,,,,,
pzsArssyjf7,ASSIGN,#{NeoIPC HAP Lower respiratory tract sample positive},expressions/programRules/NeoIPC HAP Lower respiratory tract sample positive - infer false/pzsArssyjf7.data.dhis2,,,rMrwsAXqIKc,,,,,,,,
q6HKg9AWaM7,ASSIGN,,expressions/programRules/NeoIPC HAP Set Length of Stay/q6HKg9AWaM7.data.dhis2,,,o9o46FMkloW,f22ppOLUE5q,,,,,,,
q6zrN8QVfNG,SETMANDATORYFIELD,,,,,PLYGlpyFglh,XhcAt9NTFuG,,,,,,,
qMDfL313ff4,ASSIGN,#{NeoIPC BSI Irritability count},expressions/programRules/NeoIPC BSI Irritability set count/qMDfL313ff4.data.dhis2,,,GGzawr3JNjG,,,,,,,,
qZU8QJQdiMp,SHOWWARNING,This infection seems to be an early-onset infection. Are you sure that it is hospital-acquired? Please see chapter 3.4 of the NeoIPC Surveillance Protocol for the rules.,,,,TAB3BsCr9gs,boPV9RWoanT,,,,,,,
rJ8kpWRSZ4n,SHOWERROR,INV days must be less than or equal to patient days,,,,R9okkvIpFMj,mRAdPplmm5a,,,,,,,
rjSV9rT8m8r,HIDEFIELD,,,,,jhW8xHnD8YD,K23m7eluWi0,,,,,,,
s9MWNUVZTT5,HIDESECTION,,,,,bBy2KAwRXCW,,,UD4BKztJGem,,,,,
sQvTuBrveqZ,SETMANDATORYFIELD,,,,,jBQc1oNlhHZ,,qLGOhTzMVyY,,,,,,
swSgyFAtXUT,SETMANDATORYFIELD,,,,,pFN6IkiamMF,,ZbL9VmLRB6D,,,,,,
tC8AXMOqAAM,HIDEFIELD,,,,,ehrBTKxrBMo,TXKgizEyv6g,,,,,,,
tJaNWTcaj2O,SETMANDATORYFIELD,,,,,soKejoHmhsN,rvq4L9wWbwW,,,,,,,
tY6YEF8HrwM,DISPLAYKEYVALUEPAIR,Common sepsis total findings count,expressions/programRules/NeoIPC BSI Debug rule/tY6YEF8HrwM.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
tYStPZ2uBsa,SHOWWARNING,This infection seems to be an early-onset infection. Are you sure that it is hospital-acquired? Please see chapter 3.4 of the NeoIPC Surveillance Protocol for the rules.,,,,e90HTaEpv0g,Ct7gBVqwScW,,,,,,,
tbSA0hG0XFE,SENDMESSAGE,,,,MA1jRHX31AG,wkyknn44Pla,,,,,,,,
th3HQuOvf3S,ASSIGN,#{NeoIPC BSI Acidosis count},expressions/programRules/NeoIPC BSI Acidosis set count/th3HQuOvf3S.data.dhis2,,,sMHTL9hGVxZ,,,,,,,,
tvAshRduwIf,HIDESECTION,,,,,kkDGNkYQe9t,,,Tf10VHJgyZR,,,,,
twdpMdvN3I3,DISPLAYKEYVALUEPAIR,Surgical/pathological findings count,expressions/programRules/NeoIPC NEC - display feedback/twdpMdvN3I3.data.dhis2,feedback,,KSOwPDUcO26,,,,,,,,
ufF1oEkaAVV,HIDESECTION,,,,,LLKgG1MzPPx,,,VuAIMPIHrWE,,,,,
uyVUyl7GGgX,HIDEFIELD,,,,,jhW8xHnD8YD,lJj9LgTZ9Gg,,,,,,,
vLEhaFwxCqA,HIDEFIELD,,,,,cnyYkKWdFSV,ka6PN3C7sqr,,,,,,,
vLKxmwjyxXb,ASSIGN,#{NeoIPC BSI Apnoea count},expressions/programRules/NeoIPC BSI Apnoea set count/vLKxmwjyxXb.data.dhis2,,,J3XyS3QFeQ1,,,,,,,,
vQ3weS2Oj5T,HIDEFIELD,,,,,cnyYkKWdFSV,ApLGHjC5unQ,,,,,,,
vcn5NXLRuZQ,ASSIGN,#{NeoIPC NEC Clinical findings total count},expressions/programRules/NeoIPC NEC - assign finding counts/vcn5NXLRuZQ.data.dhis2,,,D47EyNbJ8pQ,,,,,,,,
veaBzbEaShf,HIDEFIELD,,,,,uitFTLJmYup,xOjpebPJiOw,,,,,,,
vkpzQvSDjig,ASSIGN,#{NeoIPC Patient Total gestation days},expressions/programRules/NeoIPC Patient Assign total gestation days/vkpzQvSDjig.data.dhis2,,,kpQAPAm1z1n,,,,,,,,
vzwZ8JFHnLd,HIDEFIELD,,,,,hwszsk44hZ3,bKcuBeH9kER,,,,,,,
w1apQG9YKhG,HIDEFIELD,,,,,jhW8xHnD8YD,Le2Q2CCPZAQ,,,,,,,
wBLofgMgBg0,HIDEFIELD,,,,,ehrBTKxrBMo,G7uFGI11Bdr,,,,,,,
wHi0Eb7k9Rm,HIDEFIELD,,,,,cnyYkKWdFSV,fpFM0gQg4xc,,,,,,,
wJIDyQITVrk,SHOWERROR,NIV days must be less than or equal to patient days,,,,OleZ8ZztQBQ,nHIk8qJetwF,,,,,,,
wJU8SbJsuyu,SETMANDATORYFIELD,,,,,R66wKJMO2KV,,ZbL9VmLRB6D,,,,,,
wfgUValIVtL,HIDEFIELD,,,,,ehrBTKxrBMo,N36tBx8ZMt6,,,,,,,
wlprf2ToE0R,ASSIGN,,expressions/programRules/NeoIPC Patient Assign total gestation days/wlprf2ToE0R.data.dhis2,,,kpQAPAm1z1n,,Qyu9KOWyazL,,,,,,
x06e8uF9bvm,HIDEFIELD,,,,,uitFTLJmYup,C6vqhkpgeWV,,,,,,,
x8Zjy1rBA65,ASSIGN,#{NeoIPC HAP Tachypnoea uint value},expressions/programRules/NeoIPC HAP Tachypnoea value - true/x8Zjy1rBA65.data.dhis2,,,G9jyHDcj7aX,,,,,,,,
xALTxL5TX7d,HIDEFIELD,,,,,cnyYkKWdFSV,tIJkwzSh2Jt,,,,,,,
xIahBaeARNO,ASSIGN,#{NeoIPC HAP Clinical criteria fulfilled},expressions/programRules/NeoIPC HAP Clinical criteria fulfilled - assign true/xIahBaeARNO.data.dhis2,,,UcZUM0TOJ8r,,,,,,,,
xIrTJaOVNEl,HIDESECTION,,,,,LLKgG1MzPPx,,,UD4BKztJGem,,,,,
xIxsIs9vFvk,ERRORONCOMPLETE,"The definition for LCBSI caused by common commensals is not met. ",expressions/programRules/NeoIPC BSI LCBSI with common commensal detected multiple times or with AB-treatment _= 5 days validation rule/xIxsIs9vFvk.data.dhis2,,,sumEmGo0q2x,,,,,,,,
xkFeVyFHbG5,DISPLAYKEYVALUEPAIR,Pathogen 1 has value,expressions/programRules/NeoIPC BSI Debug rule/xkFeVyFHbG5.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
xqwFwesUADw,HIDEFIELD,,,,,hwszsk44hZ3,sOb9CDCoAif,,,,,,,
yECZMZvJzKm,HIDEFIELD,,,,,tKAFqdYOCgG,,RWgBBhSiu5U,,,,,,
yMTehPQzjJZ,DISPLAYKEYVALUEPAIR,Imaging and clinical findings criterion fulfilled,expressions/programRules/NeoIPC NEC - display feedback/yMTehPQzjJZ.data.dhis2,feedback,,KSOwPDUcO26,,,,,,,,
yMUkmWRLhz2,ASSIGN,#{NeoIPC HAP Increased respiratory secretion uint value},expressions/programRules/NeoIPC HAP Increased respiratory secretion value - true/yMUkmWRLhz2.data.dhis2,,,CynFTUls1wk,,,,,,,,
yNrTNPzvyhZ,DISPLAYKEYVALUEPAIR,Imaging findings criterion fulfilled,expressions/programRules/NeoIPC HAP - display feedback/yNrTNPzvyhZ.data.dhis2,feedback,,rb0tjhQtZF2,,,,,,,,
ybQVjyvShwC,SENDMESSAGE,,,,pELBNBPjaGQ,olawHScR3Vu,,,,,,,,
yv2dtzKM44V,HIDEFIELD,,,,,uitFTLJmYup,YN4JnSouiXn,,,,,,,
z1LSlhvgXbt,ASSIGN,#{NeoIPC HAP Imaging criterion fulfilled},expressions/programRules/NeoIPC HAP Imaging findings criterion fulfilled - assign true/z1LSlhvgXbt.data.dhis2,,,yzZoVDcOape,,,,,,,,
z1hSeMmEZm6,HIDEFIELD,,,,,cnyYkKWdFSV,jlRAgmCOuTI,,,,,,,
z244JJN0afF,ASSIGN,#{NeoIPC NEC Blood in stool uint value},expressions/programRules/NeoIPC NEC Blood in stool value - true/z244JJN0afF.data.dhis2,,,PVk6NdQ3cc0,,,,,,,,
zH8RGpBF1lp,ASSIGN,#{NeoIPC NEC Extensive bowel necrosis uint value},expressions/programRules/NeoIPC NEC Extensive bowel necrosis value - true/zH8RGpBF1lp.data.dhis2,,,Z7gxtGRNBwJ,,,,,,,,
zjRbpmI3kP6,HIDESECTION,,,,,PLYGlpyFglh,,,VuAIMPIHrWE,,,,,
