id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
M77VfLzMVP6,ASSIGN,#{NeoIPC HAP Respiratory support criterion fulfilled},expressions/programRules/NeoIPC HAP Respiratory support criterion fulfilled - assign true/M77VfLzMVP6.data.dhis2,,,aHKyMUBufZd,,,,,,,,
MMBcoRprCft,DISPLAYKEYVALUEPAIR,Antibiotic treatment not not,expressions/programRules/NeoIPC BSI Debug rule/MMBcoRprCft.data.dhis2,feedback,,sKUcwpq4TBC,,,,,,,,
MmWM3i0Cxeh,SENDMESSAGE,,,,aueIHVGchGS,wi0btXvKwbF,,,,,,,,
MoO5KxaM646,ASSIGN,#{NeoIPC HAP Pathogen 1 is virus},expressions/programRules/NeoIPC HAP - set virus/MoO5KxaM646.data.dhis2,,,LZQHeUvyjfJ,,,,,,,,
MoPAR39Dtto,SENDMESSAGE,,,,LCdmHuYIirI,wavenklWWWL,,,,,,,,
N42AaeNIvif,SHOWWARNING,This infection seems to be an early-onset infection. Are you sure that it is hospital-acquired? Please see chapter 3.4 of the NeoIPC Surveillance Protocol for the rules.,,,,h1CFvJtOkdN,tj1LewUMIT5,,,,,,,
N7PJnOpg1sr,HIDEFIELD,,,,,jhW8xHnD8YD,VJwXpWNnhfK,,,,,,,
N7jev5Tv972,DISPLAYKEYVALUEPAIR,Imaging findings count,expressions/programRules/NeoIPC NEC - display feedback/N7jev5Tv972.data.dhis2,feedback,,KSOwPDUcO26,,,,,,,,
N8uZLG5Xa44,ASSIGN,#{NeoIPC HAP Lower respiratory tract sample positive},expressions/programRules/NeoIPC HAP Lower respiratory tract sample positive - infer true/N8uZLG5Xa44.data.dhis2,,,EQ640JFGSCE,,,,,,,,
NCIDqY9eBWK,ASSIGN,#{NeoIPC HAP Clinical criteria total count},expressions/programRules/NeoIPC HAP Clinical criteria total count - assign calculated value/NCIDqY9eBWK.data.dhis2,,,JCR4IJWeFPy,,,,,,,,
NFQYubrrXgs,SHOWWARNING,Implausible day of life at the time of admission.,,,,Ifj6xINnDDE,rvq4L9wWbwW,,,,,,,
NPLdNePJirD,HIDESECTION,,,,,spEjGdHfvrV,,,UD4BKztJGem,,,,,
NnNVXY70LiR,ASSIGN,#{NeoIPC BSI CRP count},expressions/programRules/NeoIPC BSI CRP set count/NnNVXY70LiR.data.dhis2,,,lNm2IjXgA38,,,,,,,,
OGH3nhG8st0,DISPLAYKEYVALUEPAIR,All NeoIPC NEC definition criteria met,expressions/programRules/NeoIPC NEC - display feedback/OGH3nhG8st0.data.dhis2,feedback,,KSOwPDUcO26,,,,,,,,
OIMy7UOmUK9,ASSIGN,#{NeoIPC NEC Pneumatosis intestinalis surgical uint value},expressions/programRules/NeoIPC NEC Pneumatosis intestinalis surgical value - true/OIMy7UOmUK9.data.dhis2,,,pYoHnqNbA3l,,,,,,,,
PYnrU5fFlBt,ASSIGN,#{NeoIPC NEC Surgical findings total count},expressions/programRules/NeoIPC NEC - assign finding counts/PYnrU5fFlBt.data.dhis2,,,D47EyNbJ8pQ,,,,,,,,
Phyq5BMpvSY,HIDEFIELD,,,,,jhW8xHnD8YD,n5wJQGsAUvB,,,,,,,
PzzI3anNhYe,SHOWERROR,CVC days must be less than or equal to patient days,,,,mJk6fwzG4WI,Z3GQcwMosHH,,,,,,,
QG7g6QBkdHG,ASSIGN,#{NeoIPC BSI Hyperglycaemia  count},expressions/programRules/NeoIPC BSI Hyperglycaemia  set count/QG7g6QBkdHG.data.dhis2,,,CQhxRCFd4yL,,,,,,,,
QmL8W4kNsW7,HIDEFIELD,,,,,ehrBTKxrBMo,TsgwL95UcPF,,,,,,,
Qmt363UtrQ4,SHOWERROR,"To enroll the infant in NeoIPC core, the birth weight must be less than 1500 grams or the gestational age must be less than 32 weeks.",,,,H90Xs7KvX2P,,qLGOhTzMVyY,,,,,,
R2Taj2PE634,ASSIGN,,expressions/programRules/NeoIPC SSI Set Day of life/R2Taj2PE634.data.dhis2,,,iTooSG0KaEV,YHYi79E8xhN,,,,,,,
ReZdz8k2P9p,SETMANDATORYFIELD,,,,,spEjGdHfvrV,j4h7viHO6lb,,,,,,,
Rf5CWdxMG9I,HIDEFIELD,,,,,cnyYkKWdFSV,Au49L8nPTTv,,,,,,,
RfIu8hP2iT5,HIDEFIELD,,,,,jhW8xHnD8YD,pO5IgMyNjGA,,,,,,,
RiruEMstGWw,DISPLAYKEYVALUEPAIR,Respiratory support criterion fulfilled,expressions/programRules/NeoIPC HAP - display feedback/RiruEMstGWw.data.dhis2,feedback,,rb0tjhQtZF2,,,,,,,,
RzoPXAebCXe,HIDEFIELD,,,,,jhW8xHnD8YD,XXUaWNIB6fS,,,,,,,
S7J0spdiDd9,HIDEFIELD,,,,,ehrBTKxrBMo,YQVGiNDlXSk,,,,,,,
