id,code,name,description,condition,priority,program,programStage,programRuleActions,sharing
LZQHeUvyjfJ,NEOIPC_HAP_SET_VIRUS,NeoIPC HAP - set virus,Sets the virus variables,expressions/programRules/NeoIPC HAP - set virus/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,MoO5KxaM646 aZrOkpaICko ocEhZAtP6by,
G9jyHDcj7aX,NEOIPC_HAP_TACHYPNOEA_VAL_TRUE,NeoIPC HAP Tachypnoea value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Tachypnoea value"" is true",expressions/programRules/NeoIPC HAP Tachypnoea value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,x8Zjy1rBA65,
SW9WglzhsId,NEOIPC_HAP_VIRUS_DETECTED_INFER_FALSE,NeoIPC HAP Virus detected - infer false,"Sets the program rule variable ""NeoIPC HAP Virus detected"" to false if none of the 3 detected pathogens is a virus.",expressions/programRules/NeoIPC HAP Virus detected - infer false/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,EBquGZbiuik,
BMY3P0lQncK,NEOIPC_HAP_VIRUS_DETECTED_INFER_TRUE,NeoIPC HAP Virus detected - infer true,"Sets the program rule variable ""NeoIPC HAP Virus detected"" to true if any of the 3 detected pathogens is a virus.",expressions/programRules/NeoIPC HAP Virus detected - infer true/condition.dhis2,2,D8mSSpOpsKj,gS3zQzPpsgV,T7zcLkQmV34,
LjBpqQJlAwH,NEOIPC_HAP_VIRUS_DETECTED_OR_LOW_RESP_SAMPLE_POS,NeoIPC HAP Virus detected or NeoIPC HAP Lower respiratory tract sample positive,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Virus detected"" or ""NeoIPC HAP Lower respiratory tract sample positive"" is true.",expressions/programRules/NeoIPC HAP Virus detected or NeoIPC HAP Lower respiratory tract sample positive/condition.dhis2,3,D8mSSpOpsKj,gS3zQzPpsgV,m0l4Urbiw8c,
jxuyugcOILj,NEOIPC_NEC_ABDOMINAL_DISCOLORATION_VAL_TRUE,NeoIPC NEC Abdominal discoloration value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Abdominal discoloration value"" is true",expressions/programRules/NeoIPC NEC Abdominal discoloration value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,d5zVNae6Sqn,
aMc3Xe08gpD,NEOIPC_NEC_ABDOMINAL_DISTENSION_VAL_TRUE,NeoIPC NEC Abdominal distension value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Abdominal distension value"" is true",expressions/programRules/NeoIPC NEC Abdominal distension value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,COO17odEi9Z,
xdOsdJ0vWkH,NEOIPC_NEC_BILIOUS_GASTRIC_ASPIRATE_VAL_TRUE,NeoIPC NEC Bilious gastric aspirate value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Bilious gastric aspirate value"" is true",expressions/programRules/NeoIPC NEC Bilious gastric aspirate value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,Gl0z95P3NaI,
PVk6NdQ3cc0,NEOIPC_NEC_BLOOD_IN_STOOL_VAL_TRUE,NeoIPC NEC Blood in stool value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Blood in stool value"" is true",expressions/programRules/NeoIPC NEC Blood in stool value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,z244JJN0afF,
KSOwPDUcO26,NEOIPC_NEC_DISPLAY_FEEDBACK,NeoIPC NEC - display feedback,,expressions/programRules/NeoIPC NEC - display feedback/condition.dhis2,100,D8mSSpOpsKj,Cp8UiWONR1B,CH7nvJWv0ar N7jev5Tv972 OGH3nhG8st0 gb4iMKWD7wv twdpMdvN3I3 yMTehPQzjJZ,
e90HTaEpv0g,NEOIPC_NEC_DOL_VAL_LESS_THAN_4,NeoIPC NEC Day of life value less than 4,Issues a warning if the day of life at the time of a NEC event is 3 or less,expressions/programRules/NeoIPC NEC Day of life value less than 4/condition.dhis2,1,D8mSSpOpsKj,Cp8UiWONR1B,tYStPZ2uBsa,
Z7gxtGRNBwJ,NEOIPC_NEC_EXTENSIVE_BOWEL_NECROSIS_VAL_TRUE,NeoIPC NEC Extensive bowel necrosis value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Extensive bowel necrosis value"" is true",expressions/programRules/NeoIPC NEC Extensive bowel necrosis value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,zH8RGpBF1lp,
vOiD4m07V8h,NEOIPC_NEC_FIXED_BOWEL_LOOP_VAL_TRUE,NeoIPC NEC Fixed bowel loop value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Fixed bowel loop value"" is true",expressions/programRules/NeoIPC NEC Fixed bowel loop value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,JmBnUWvszBi,
Gpl5WOc3KR6,NEOIPC_NEC_IMG_CLIN_FINDINGS_CRIT_FULFILLED_FALSE,NeoIPC NEC Imaging Clinical findings criterion fulfilled - assign false,,expressions/programRules/NeoIPC NEC Imaging Clinical findings criterion fulfilled - assign false/condition.dhis2,5,D8mSSpOpsKj,Cp8UiWONR1B,GmnZh9TgY5d,
fEFavPgMtEQ,NEOIPC_NEC_IMG_CLIN_FINDINGS_CRIT_FULFILLED_TRUE,NeoIPC NEC Imaging Clinical findings criterion fulfilled - assign true,,expressions/programRules/NeoIPC NEC Imaging Clinical findings criterion fulfilled - assign true/condition.dhis2,5,D8mSSpOpsKj,Cp8UiWONR1B,AhmDEsFbA7B,
FFZw4Nvznpv,NEOIPC_NEC_INCREASED_GASTRIC_RESIDUALS_VAL_TRUE,NeoIPC NEC Increased gastric residuals value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Increased gastric residuals value"" is true",expressions/programRules/NeoIPC NEC Increased gastric residuals value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,ZdNvbprB5gs,
PRHZlRPuVZs,NEOIPC_NEC_LOS_LESS_THAN_2,NeoIPC NEC Length of Stay less than 2,Issues a warning if the length of stay at the time of a NEC event is 1 or less,expressions/programRules/NeoIPC NEC Length of Stay less than 2/condition.dhis2,1,D8mSSpOpsKj,Cp8UiWONR1B,aZwGywScUt5,
n1Hc37OvhSa,NEOIPC_NEC_PNEUMAT_INT_IMG_VAL_TRUE,NeoIPC NEC Pneumatosis intestinalis imaging value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Pneumatosis intestinalis imaging value"" is true",expressions/programRules/NeoIPC NEC Pneumatosis intestinalis imaging value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,bcKnSS5FcS8,
pYoHnqNbA3l,NEOIPC_NEC_PNEUMAT_INT_SURG_VAL_TRUE,NeoIPC NEC Pneumatosis intestinalis surgical value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Pneumatosis intestinalis surgical value"" is true",expressions/programRules/NeoIPC NEC Pneumatosis intestinalis surgical value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,OIMy7UOmUK9,
gtxIgGD5Y3R,NEOIPC_NEC_PNEUMOPERITONEUM_VAL_TRUE,NeoIPC NEC Pneumoperitoneum value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Pneumoperitoneum value"" is true",expressions/programRules/NeoIPC NEC Pneumoperitoneum value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,nkB4VlEfpCv,
g9afRtOSERN,NEOIPC_NEC_PORTAL_VENOUS_GAS_VAL_TRUE,NeoIPC NEC Portal venous gas value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Portal venous gas value"" is true",expressions/programRules/NeoIPC NEC Portal venous gas value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,LFLf3RbOVqN,
cOrBBDnVH3z,NEOIPC_NEC_SEC_BSI_AGENT_1_NAME_HAS_VAL,NeoIPC NEC Secondary BSI Organism 1 - name has value,Sends a message when a custom name is entered as Organism 1 in the secondary BSI section of the NeoIPC Core NEC dialog,expressions/programRules/NeoIPC NEC Secondary BSI Organism 1 - name has value/condition.dhis2,9999,D8mSSpOpsKj,Cp8UiWONR1B,DaO14e1QbfG,
kmpDHu9KTlL,NEOIPC_NEC_SEC_BSI_AGENT_2_NAME_HAS_VAL,NeoIPC NEC Secondary BSI Organism 2 - name has value,Sends a message when a custom name is entered as Organism 2 in the secondary BSI section of the NeoIPC Core NEC dialog,expressions/programRules/NeoIPC NEC Secondary BSI Organism 2 - name has value/condition.dhis2,9999,D8mSSpOpsKj,Cp8UiWONR1B,TG09ij4rCP7,
Yf4TstJjxq7,NEOIPC_NEC_SEC_BSI_AGENT_3_NAME_HAS_VAL,NeoIPC NEC Secondary BSI Organism 3 - name has value,Sends a message when a custom name is entered as Organism 3 in the secondary BSI section of the NeoIPC Core NEC dialog,expressions/programRules/NeoIPC NEC Secondary BSI Organism 3 - name has value/condition.dhis2,9999,D8mSSpOpsKj,Cp8UiWONR1B,hs7ldgDtJa1,
JkpbIBpvrfh,NEOIPC_NEC_SEC_BSI_VAL_1_PLUS,NeoIPC NEC Secondary bloodstream infection value - 1+,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Secondary bloodstream infection value"" is greater than 0",expressions/programRules/NeoIPC NEC Secondary bloodstream infection value - 1+/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,kV6T5wgFKb4,
ehrBTKxrBMo,NEOIPC_NEC_SEC_BSI_VAL_NO_VAL_OR_0,NeoIPC NEC Secondary bloodstream infection value - no value or 0-,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Secondary bloodstream infection value"" does not have a value or when the value is less than 1",expressions/programRules/NeoIPC NEC Secondary bloodstream infection value - no value or 0-/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,AHZfr5wVGIK D8RA8PvO47R DbpJzwRsvr6 IFm9cCYyLen L1prOMHUg0c QmL8W4kNsW7 S7J0spdiDd9 aYu9OVyfrGa c1nvWF3ju1U dGJZdYFQDu0 dagWswlR7LB gzDgCi7pvkf hj9D3TiJkC0 hmiG2usoXuU iSQvwFNntZQ j5DIP0YYUAC kRW5Q0ZiYHH pcLASMzDgRQ tC8AXMOqAAM wBLofgMgBg0 wfgUValIVtL,
pMzKRM5OdcT,NEOIPC_NEC_SET_DOL,NeoIPC NEC Set Day of life,Automatically sets the day of life for the current NEC event,expressions/programRules/NeoIPC NEC Set Day of life/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,hvBrOiCk8n5,
D47EyNbJ8pQ,NEOIPC_NEC_SET_FINDING_COUNTS,NeoIPC NEC - assign finding counts,,expressions/programRules/NeoIPC NEC - assign finding counts/condition.dhis2,4,D8mSSpOpsKj,Cp8UiWONR1B,PYnrU5fFlBt fQcuGNlsW1u vcn5NXLRuZQ,
SXv5r0P3cej,NEOIPC_NEC_SET_LOS,NeoIPC NEC Set Length of Stay,Automatically sets the Length of Stay for the current event,expressions/programRules/NeoIPC NEC Set Length of Stay/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,dkNqideENyy,
EP5qVa9lEpP,NEOIPC_NEC_SURG_FINDINGS_CRIT_FULFILLED_FALSE,NeoIPC NEC Surgical findings criterion fulfilled - assign false,,expressions/programRules/NeoIPC NEC Surgical findings criterion fulfilled - assign false/condition.dhis2,5,D8mSSpOpsKj,Cp8UiWONR1B,d9mnGdkECl4,
B4jHFueC2Cn,NEOIPC_NEC_SURG_FINDINGS_CRIT_FULFILLED_TRUE,NeoIPC NEC Surgical findings criterion fulfilled - assign true,,expressions/programRules/NeoIPC NEC Surgical findings criterion fulfilled - assign true/condition.dhis2,5,D8mSSpOpsKj,Cp8UiWONR1B,nXkfwkkiZWH,
erHsTIz7fkO,NEOIPC_NEC_VOMITING_VAL_TRUE,NeoIPC NEC Vomiting value - true,"Adjusts the dialog and assigns variables when ""NeoIPC NEC Vomiting value"" is true",expressions/programRules/NeoIPC NEC Vomiting value - true/condition.dhis2,0,D8mSSpOpsKj,Cp8UiWONR1B,ollB07QBNqE,
FUJje59tZDB,NEOIPC_NEC_VR,NeoIPC NEC Validation rule,Validates the findings in the NeoIPC Core NEC dialog against the definition in the protocol,expressions/programRules/NeoIPC NEC Validation rule/condition.dhis2,100,D8mSSpOpsKj,Cp8UiWONR1B,dYmNC8SeeSx,
H90Xs7KvX2P,NEOIPC_PATIENT_BW_1500_GRAMS_AND_GA_32_PLUS_WEEKS,NeoIPC Patient Birth weight 1500+ grams and gestational age 32+ weeks,Raises an error if the entered birth weight is 1500 grams or more and the gestational age is 32 weeks or more.,expressions/programRules/NeoIPC Patient Birth weight 1500+ grams and gestational age 32+ weeks/condition.dhis2,4,D8mSSpOpsKj,,IZA8MT8DgTo Qmt363UtrQ4,
R66wKJMO2KV,NEOIPC_PATIENT_BW_AND_GA_MANDATORY_NEODECO,NeoIPC Patient Birth weight and gestational age mandatory (NeoDeco),Makes both birth weight and gestational age mandatory if the site is a NeoDeco trial site.,expressions/programRules/NeoIPC Patient Birth weight and gestational age mandatory (NeoDeco)/condition.dhis2,4,D8mSSpOpsKj,,VIOoOpB1QFL wJU8SbJsuyu,
pFN6IkiamMF,NEOIPC_PATIENT_BW_MANDATORY_IF_GA_MISSING_REGULAR,NeoIPC Patient Birth weight mandatory if gestational age missing (regular),Makes birth weight mandatory if gestational age is missing and the site is not a NeoDeco trial site.,expressions/programRules/NeoIPC Patient Birth weight mandatory if gestational age missing (regular)/condition.dhis2,4,D8mSSpOpsKj,,swSgyFAtXUT,
WEHHU9Qug9F,NEOIPC_PATIENT_GA_FORMAT_VR,NeoIPC Patient Validate gestational age format,Checks the format of the value entered into the gestational age input field,expressions/programRules/NeoIPC Patient Validate gestational age format/condition.dhis2,1,D8mSSpOpsKj,,Brz79iM3TLB,
jBQc1oNlhHZ,NEOIPC_PATIENT_GA_MANDATORY_IF_BW_MISSING_REGULAR,NeoIPC Patient Gestational age mandatory if birth weight missing (regular),Makes gestational age mandatory if birth weight is missing and the site is not a NeoDeco trial site.,expressions/programRules/NeoIPC Patient Gestational age mandatory if birth weight missing (regular)/condition.dhis2,4,D8mSSpOpsKj,,sQvTuBrveqZ,
tKAFqdYOCgG,NEOIPC_PATIENT_MULTIPLE_BIRTH_IS_NOT_SET,NeoIPC Patient Multiple birth is not set,Adjusts the dialog when the multiple birth checkbox is not checked.,expressions/programRules/NeoIPC Patient Multiple birth is not set/condition.dhis2,,D8mSSpOpsKj,,yECZMZvJzKm,
g0UvhlAN4r6,NEOIPC_PATIENT_MULTIPLE_BIRTH_IS_SET,NeoIPC Patient Multiple birth is set,Adjusts the dialog when the multiple birth checkbox is checked.,expressions/programRules/NeoIPC Patient Multiple birth is set/condition.dhis2,,D8mSSpOpsKj,,kGd7F503CGl,
DiT08PWJdBc,NEOIPC_PATIENT_SET_GESTATION_DAYS_AND_WEEKS,NeoIPC Patient Assign gestation days and weeks,Assigns the number of gestation days and weeks from the gestational age input format to program rule variables,expressions/programRules/NeoIPC Patient Assign gestation days and weeks/condition.dhis2,2,D8mSSpOpsKj,,HxBXUZ2LmOF gADByFHDQIv,
kpQAPAm1z1n,NEOIPC_PATIENT_SET_TOTAL_GESTATION_DAYS,NeoIPC Patient Assign total gestation days,Calculates the total number of gestation days and weeks from the two program rule variables that contain the weeks and days.,expressions/programRules/NeoIPC Patient Assign total gestation days/condition.dhis2,3,D8mSSpOpsKj,,vkpzQvSDjig wlprf2ToE0R,
AOJtrTQg1ZP,NEOIPC_PATIENT_SHOW_FEEDBACK_FOR_ADM_COMPLETED,"NeoIPC Patient Show feedback for ""Admission Completed""",,expressions/programRules/NeoIPC Patient Show feedback for _Admission Completed_/condition.dhis2,1,D8mSSpOpsKj,,kGRrYYxGAzx,
KqNiD014l94,NEOIPC_PATIENT_WARN_BW_1_299_OR_5000_PLUS,NeoIPC Patient Warn birth weight 1-299 or 5000+,Issues a warning when the birth weight is less than 300 grams or more than 5000 grams.,expressions/programRules/NeoIPC Patient Warn birth weight 1-299 or 5000+/condition.dhis2,,D8mSSpOpsKj,,BThYpmhoaky,
tm7biA83rNu,NEOIPC_PATIENT_WARN_BW_EMPTY_REGULAR,NeoIPC Patient Warn birth weight empty (regular),Issues a warning if the birth weight is empty.,expressions/programRules/NeoIPC Patient Warn birth weight empty (regular)/condition.dhis2,4,D8mSSpOpsKj,,SCrOe0ZHWh0,
b3CR62JDGHW,NEOIPC_PATIENT_WARN_GESTATION_DAYS_0_160_OR_310,NeoIPC Patient Warn gestation days 0-160 or 310+,Displays a warning if the calculated number of gestation days is less than 161 or greater than 310,expressions/programRules/NeoIPC Patient Warn gestation days 0-160 or 310+/condition.dhis2,4,D8mSSpOpsKj,,ZIqrCJ67NRA,
m6E8WHjIJsK,NEOIPC_PATIENT_WARN_SIBLINGS_IN_BIRTH_7_PLUS,NeoIPC Patient Warn siblings in birth 7+,Issues a warning when the number of siblings in one birth is 7 or more.,expressions/programRules/NeoIPC Patient Warn siblings in birth 7+/condition.dhis2,,D8mSSpOpsKj,,dXvYPH45tae,
BVXHtD6b14r,NEOIPC_SSI_AGENT_1_NAME_HAS_VAL,NeoIPC SSI Organism 1 - name has value,Sends a message when a custom name is entered as Organism 1 in the NeoIPC Core SSI dialog,expressions/programRules/NeoIPC SSI Organism 1 - name has value/condition.dhis2,9999,D8mSSpOpsKj,cZhr3Wm2fc8,eLqdP1rLcKb,
wi0btXvKwbF,NEOIPC_SSI_AGENT_2_NAME_HAS_VAL,NeoIPC SSI Organism 2 - name has value,Sends a message when a custom name is entered as Organism 2 in the NeoIPC Core SSI dialog,expressions/programRules/NeoIPC SSI Organism 2 - name has value/condition.dhis2,9999,D8mSSpOpsKj,cZhr3Wm2fc8,MmWM3i0Cxeh,
PBst4DkKze8,NEOIPC_SSI_AGENT_3_NAME_HAS_VAL,NeoIPC SSI Organism 3 - name has value,Sends a message when a custom name is entered as Organism 3 in the NeoIPC Core SSI dialog,expressions/programRules/NeoIPC SSI Organism 3 - name has value/condition.dhis2,9999,D8mSSpOpsKj,cZhr3Wm2fc8,CD8gvLGu8bX,
kh6vV560ykk,NEOIPC_SSI_DEEP_INCISIONAL_VR,NeoIPC SSI Deep incisional SSI validation rule,Validates the findings in the NeoIPC Core SSI dialog against the deep incisional SSI definition in the protocol,expressions/programRules/NeoIPC SSI Deep incisional SSI validation rule/condition.dhis2,100,D8mSSpOpsKj,cZhr3Wm2fc8,JsOCNg1xiuf,
BwaDt04UeHD,NEOIPC_SSI_HAS_MIBI_RESULTS,NeoIPC SSI - has microbiology results,Makes pathogen-related data elements mandatory if the user specifies that microbiology result are available,expressions/programRules/NeoIPC SSI - has microbiology results/condition.dhis2,1,D8mSSpOpsKj,cZhr3Wm2fc8,byGXZQBnsfV,
oU67Orv3grn,NEOIPC_SSI_HAS_SEC_BSI,NeoIPC SSI - has secondary BSI,Makes data elements related to secondary BSI mandatory if the user specifies that a secondary BSI has occurred.,expressions/programRules/NeoIPC SSI - has secondary BSI/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,mGBpog8R7JV,
spEjGdHfvrV,NEOIPC_SSI_INFECTION_TYPE_DEEP,NeoIPC SSI - infection type deep,Hides data elements for superficial and organ/space infections if the infection type is deep,expressions/programRules/NeoIPC SSI - infection type deep/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,NPLdNePJirD ReZdz8k2P9p jddhCiSsOeM,
PLYGlpyFglh,NEOIPC_SSI_INFECTION_TYPE_ORGAN_SPACE,NeoIPC SSI - infection type organ/space,Hides data elements for superficial and superficial infections if the infection type is organ/space,expressions/programRules/NeoIPC SSI - infection type organ_space/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,YLoiCtsDgaA q6zrN8QVfNG zjRbpmI3kP6,
LLKgG1MzPPx,NEOIPC_SSI_INFECTION_TYPE_SUPERFICIAL,NeoIPC SSI - infection type superficial,Hides data elements for deep and organ/space infections if the infection type is superficial,expressions/programRules/NeoIPC SSI - infection type superficial/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,fVzipb7u7JB ufF1oEkaAVV xIrTJaOVNEl,
bBy2KAwRXCW,NEOIPC_SSI_NO_INFECTION_TYPE,NeoIPC SSI - no infection type,Hides clinical signs and symptoms data elements until the user selects an infection type,expressions/programRules/NeoIPC SSI - no infection type/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,EkaiavA2iLK Xr6y6BvahHt ZGHD2MFuXSx hkjtnc9E5N1 nmaWTh7wUXA s9MWNUVZTT5,
cnyYkKWdFSV,NEOIPC_SSI_NO_MIBI_RESULT_AVAILABLE,NeoIPC SSI - no microbiology result available,Hides pathogen-related data elements unless the user specifies that microbiologic result are available,expressions/programRules/NeoIPC SSI - no microbiology result available/condition.dhis2,1,D8mSSpOpsKj,cZhr3Wm2fc8,C24AaRjtqB0 DT7sZJJGU6R KsygiciFSXM LpAedkkFnJK Rf5CWdxMG9I SSBT2ZOBDTM XdXlqqgcp5b XxWQ5RRgXz4 YGJBkSY9BRG ZNebHU6Ve9V cs3eMawm5mP eD5X7l2Z16n fYDGBWxfaYk i2nP3llrGmL mU8PpZOXyNx nUSeExvLsb3 odKR6nYRF6x vLEhaFwxCqA vQ3weS2Oj5T wHi0Eb7k9Rm xALTxL5TX7d z1hSeMmEZm6,
uitFTLJmYup,NEOIPC_SSI_NO_SEC_BSI,NeoIPC SSI - no secondary BSI,Hides data elements related to secondary BSI unless the user specifies that a secondary BSI has occurred.,expressions/programRules/NeoIPC SSI - no secondary BSI/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,Asfbt9in5MF BGS7WqIrkhg CZV4H02SxDT D5ADpomLswl Dw5vsR9wq9c FqepHLG9rVE Hcke6Yp6sWK IQMVixKHIp8 Inbw2UwKdpo SDd6PPHGXxy SegNT3LTXT6 UAc2iOrETsQ XSwYAItKZuY XvrSQ5Xu2s3 YOMSpHMwrwa gmbDl7TNNGh kitTSOXAMz3 lS1EfjpNob7 lueG3PXCahd veaBzbEaShf x06e8uF9bvm yv2dtzKM44V,
BXVz490aRpj,NEOIPC_SSI_ORGAN_SPACE_VR,NeoIPC SSI Organ/space SSI validation rule,Validates the findings in the NeoIPC Core SSI dialog against the organ/space SSI definition in the protocol,expressions/programRules/NeoIPC SSI Organ_space SSI validation rule/condition.dhis2,100,D8mSSpOpsKj,cZhr3Wm2fc8,dpFcrLhZ0kN,
olawHScR3Vu,NEOIPC_SSI_SEC_BSI_AGENT_1_NAME_HAS_VAL,NeoIPC SSI Secondary BSI Organism 1 - name has value,Sends a message when a custom name is entered as Organism 1 in the secondary BSI section of the NeoIPC Core SSI dialog,expressions/programRules/NeoIPC SSI Secondary BSI Organism 1 - name has value/condition.dhis2,9999,D8mSSpOpsKj,cZhr3Wm2fc8,ybQVjyvShwC,
DSpI9KsaGfg,NEOIPC_SSI_SEC_BSI_AGENT_2_NAME_HAS_VAL,NeoIPC SSI Secondary BSI Organism 2 - name has value,Sends a message when a custom name is entered as Organism 2 in the secondary BSI section of the NeoIPC Core SSI dialog,expressions/programRules/NeoIPC SSI Secondary BSI Organism 2 - name has value/condition.dhis2,9999,D8mSSpOpsKj,cZhr3Wm2fc8,kFbylFQ0HpU,
xRZwaKSxJ1r,NEOIPC_SSI_SEC_BSI_AGENT_3_NAME_HAS_VAL,NeoIPC SSI Secondary BSI Organism 3 - name has value,Sends a message when a custom name is entered as Organism 3 in the secondary BSI section of the NeoIPC Core SSI dialog,expressions/programRules/NeoIPC SSI Secondary BSI Organism 3 - name has value/condition.dhis2,9999,D8mSSpOpsKj,cZhr3Wm2fc8,ieKkI1rLpMT,
RsU18e1lWxE,NEOIPC_SSI_SET_AGENTS_IDENTIFIED_FROM_ANY_SITE,NeoIPC SSI - set organisms identified from any site,,expressions/programRules/NeoIPC SSI - set organisms identified from any site/condition.dhis2,0,D8mSSpOpsKj,cZhr3Wm2fc8,gyTtkdEqXXv,
iTooSG0KaEV,NEOIPC_SSI_SET_DOL,NeoIPC SSI Set Day of life,Automatically sets the day of life for the current SSI event,expressions/programRules/NeoIPC SSI Set Day of life/condition.dhis2,0,D8mSSpOpsKj,cZhr3Wm2fc8,R2Taj2PE634,
m2CoPEtzZpU,NEOIPC_SSI_SET_LOS,NeoIPC SSI Set Length of Stay,Automatically sets the Length of Stay for the current event,expressions/programRules/NeoIPC SSI Set Length of Stay/condition.dhis2,0,D8mSSpOpsKj,cZhr3Wm2fc8,BDncuOltyEP,
sc6VLWeyY4U,NEOIPC_SSI_SUPERFICIAL_INCISIONAL_VR,NeoIPC SSI Superficial incisional SSI validation rule,Validates the findings in the NeoIPC Core SSI dialog against the superficial incisional SSI definition in the protocol,expressions/programRules/NeoIPC SSI Superficial incisional SSI validation rule/condition.dhis2,100,D8mSSpOpsKj,cZhr3Wm2fc8,TZTH0rlPDRR,
eqc0S2TZvkm,NEOIPC_SSI_SUPERFICIAL_INFECTION,NeoIPC SSI - superficial infection,Adjusts the dialog when only the skin is involved,expressions/programRules/NeoIPC SSI - superficial infection/condition.dhis2,,D8mSSpOpsKj,cZhr3Wm2fc8,XXncoxaoIek iHMgORcoNkp,
sar1ZEH47wx,NEOIPC_SURGERY_SET_DOL,NeoIPC Surgical Procedure Set Day of life,Automatically sets the day of life for the current Surgical Procedure event,expressions/programRules/NeoIPC Surgical Procedure Set Day of life/condition.dhis2,0,D8mSSpOpsKj,BHWwaviIFvy,W3clTqhECkI,
D2RPS1cedtu,NEOIPC_SURGERY_SET_LOS,NeoIPC SURGERY Set Length of Stay,Automatically sets the Length of Stay for the current event,expressions/programRules/NeoIPC SURGERY Set Length of Stay/condition.dhis2,0,D8mSSpOpsKj,BHWwaviIFvy,cFwDRaTty3N,
NGhr5Yt9Dk4,NEOIPC_SURV_END_AB_DAYS_VR,NeoIPC Surveillance end AB days - validate,,expressions/programRules/NeoIPC Surveillance end AB days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,bFBGJuvlCYW,
mJk6fwzG4WI,NEOIPC_SURV_END_CVC_DAYS_VR,NeoIPC Surveillance end CVC days - validate,,expressions/programRules/NeoIPC Surveillance end CVC days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,PzzI3anNhYe,
cqCLw4GQP4L,NEOIPC_SURV_END_HUMAN_MILK_DAYS_VR,NeoIPC Surveillance end Human milk days - validate,,expressions/programRules/NeoIPC Surveillance end Human milk days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,JI9qa1HYm0F,
R9okkvIpFMj,NEOIPC_SURV_END_INV_DAYS_VR,NeoIPC Surveillance end INV days - validate,,expressions/programRules/NeoIPC Surveillance end INV days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,rJ8kpWRSZ4n,
komIcllqdzO,NEOIPC_SURV_END_KANGAROO_CARE_DAYS_VR,NeoIPC Surveillance end Kangaroo care days - validate,,expressions/programRules/NeoIPC Surveillance end Kangaroo care days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,fByTL1GpSPg,
OleZ8ZztQBQ,NEOIPC_SURV_END_NIV_DAYS_VR,NeoIPC Surveillance end NIV days - validate,,expressions/programRules/NeoIPC Surveillance end NIV days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,wJIDyQITVrk,
SvfLyQgSSrC,NEOIPC_SURV_END_NIV_INV_DAYS_VR,NeoIPC Surveillance end NIV + INV days - validate,,expressions/programRules/NeoIPC Surveillance end NIV + INV days - validate/condition.dhis2,1,D8mSSpOpsKj,DDLi3OGC5Yh,Jn6lZgdzVok,
