id,code,name,description,condition,priority,program,programStage,programRuleActions,sharing
lNm2IjXgA38,NEOIPC_BSI_CRP_SET_COUNT,NeoIPC BSI CRP set count,Sets NeoIPC BSI CRP count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI CRP set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,NnNVXY70LiR,
h1CFvJtOkdN,NEOIPC_BSI_DOL_VAL_LESS_THAN_4,NeoIPC BSI Day of life value less than 4,Issues a warning if the day of life at the time of a BSI event is 3 or less,expressions/programRules/NeoIPC BSI Day of life value less than 4/condition.dhis2,1,D8mSSpOpsKj,wDQxhhyAkEU,N42AaeNIvif,
uZ76n1VW5ew,NEOIPC_BSI_FEEDING_INTOLERANCE_SET_COUNT,NeoIPC BSI Feeding intolerance set count,Sets NeoIPC BSI Feeding intolerance count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Feeding intolerance set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,prr5HUikjWC,
CQhxRCFd4yL,NEOIPC_BSI_HYPERGLYCAEMIA_SET_COUNT,NeoIPC BSI Hyperglycaemia  set count,Sets NeoIPC BSI Hyperglycaemia  count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Hyperglycaemia  set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,QG7g6QBkdHG,
VOrixcs1pS7,NEOIPC_BSI_IF_NO_POS_CULTURE,NeoIPC BSI - when no positive culture,"Adjusts the dialog when ""No positive culture"" is enabled",expressions/programRules/NeoIPC BSI - when no positive culture/condition.dhis2,,D8mSSpOpsKj,wDQxhhyAkEU,h3ISEpfpFMh kUu5iHyWqJP,
JkaN4BaXIpW,NEOIPC_BSI_INTERLEUKIN_SET_COUNT,NeoIPC BSI Interleukin set count,Sets NeoIPC BSI Interleukin count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Interleukin set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,EA2FETf6og6,
GGzawr3JNjG,NEOIPC_BSI_IRRITABILITY_SET_COUNT,NeoIPC BSI Irritability set count,Sets NeoIPC BSI Irritability count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Irritability set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,qMDfL313ff4,
QWVCLlCyWO4,NEOIPC_BSI_IT_RATIO_SET_COUNT,NeoIPC BSI IT ratio set count,Sets NeoIPC BSI I/T ratio count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI IT ratio set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,AU7KfzR1meq,
sumEmGo0q2x,NEOIPC_BSI_LCBSI_CC_MULT_OR_AB_5D_VR,NeoIPC BSI LCBSI with common commensal detected multiple times or with AB-treatment >= 5 days validation rule,Validates the findings in the NeoIPC Core BSI dialog against the LCBSI definition in the protocol where a common commensal was detected multiple times or where systemic antibiotic treatment for 5 days or more was initiated.,expressions/programRules/NeoIPC BSI LCBSI with common commensal detected multiple times or with AB-treatment _= 5 days validation rule/condition.dhis2,100,D8mSSpOpsKj,wDQxhhyAkEU,xIxsIs9vFvk,
auj12Ai26xP,NEOIPC_BSI_LCBSI_CC_ONCE_NO_AB_VR,NeoIPC BSI LCBSI with common commensal detected only once and no antibiotic treatment validation rule,Validates the findings in the NeoIPC Core BSI dialog against the LCBSI definition in the protocol where a common commensal was detected only once and no antibiotic treatment was initiated.,expressions/programRules/NeoIPC BSI LCBSI with common commensal detected only once and no antibiotic treatment validation rule/condition.dhis2,100,D8mSSpOpsKj,wDQxhhyAkEU,BXpXjk9mKRe,
hGpXJ1WuHVJ,NEOIPC_BSI_LOS_LESS_THAN_2,NeoIPC BSI Length of Stay less than 2,Issues a warning if the length of stay at the time of a BSI event is 1 or less,expressions/programRules/NeoIPC BSI Length of Stay less than 2/condition.dhis2,1,D8mSSpOpsKj,wDQxhhyAkEU,ALLSyDKLxIm,
srGZpDr3rnG,NEOIPC_BSI_NO_POS_CULTURE_HIDE_IF_AGENT_RECORDED,NeoIPC BSI no positive culture - hide when an organism is recorded,Hides the 'no positive culture' field once an organism has been recorded in the first BSI pathogen slot (a recovered organism implies a positive culture).,expressions/programRules/NeoIPC BSI no positive culture - hide when an organism is recorded/condition.dhis2,1,D8mSSpOpsKj,wDQxhhyAkEU,YDxuws9ykum,
Gi7SH9RVlKg,NEOIPC_BSI_PERFUSION_SET_COUNT,NeoIPC BSI Perfusion set count,Sets NeoIPC BSI Perfusion count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Perfusion set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,hhKcnI0yVCr,
yJvQVT3rIX1,NEOIPC_BSI_PLATELET_COUNT_SET_COUNT,NeoIPC BSI Platelet count set count,Sets NeoIPC BSI Platelet count count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Platelet count set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,lfZfbt37OQp,
EBZOuGuaulx,NEOIPC_BSI_PROCALCITONIN_SET_COUNT,NeoIPC BSI Procalcitonin set count,Sets NeoIPC BSI Procalcitonin count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Procalcitonin set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,GxuG7K4Pmc9,
vsmxvp7bBHY,NEOIPC_BSI_SET_COMMON_LAB_FINDINGS_COUNT,NeoIPC BSI Assign common laboratory findings count,Sets the variable for the common laboratory findings to 1 if any are set as present in the NeoIPC Core BSI dialog.,expressions/programRules/NeoIPC BSI Assign common laboratory findings count/condition.dhis2,1,D8mSSpOpsKj,wDQxhhyAkEU,c4NjG2uyMNg,
SdLm0Qp8IDS,NEOIPC_BSI_SET_DOL,NeoIPC BSI Set Day of life,Automatically sets the day of life for the current BSI event,expressions/programRules/NeoIPC BSI Set Day of life/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,FVHNMY64Lmk,
qcMm39rdO3M,NEOIPC_BSI_SET_FIRST_FINDING_COUNTS,NeoIPC BSI Assign first finding counts,Counts the findings (except for the common laboratory findings that count as 1) that are set as present in the NeoIPC Core BSI dialog and assigns the result to the variables relevant for the validation rule.,expressions/programRules/NeoIPC BSI Assign first finding counts/condition.dhis2,1,D8mSSpOpsKj,wDQxhhyAkEU,UvmZEbRhjqM Y1EJX8Pxx5i gi0dmsVCQK9,
YL8YY0dj2AO,NEOIPC_BSI_SET_LOS,NeoIPC BSI Set Length of Stay,Automatically sets the Length of Stay for the current event,expressions/programRules/NeoIPC BSI Set Length of Stay/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,JKSnC6C8tn0,
B8PvnPoxbZX,NEOIPC_BSI_SET_TOTAL_COMMON_FINDING_COUNTS,NeoIPC BSI Assign total common finding counts,Assigns the total value for the clinical finding counts.,expressions/programRules/NeoIPC BSI Assign total common finding counts/condition.dhis2,2,D8mSSpOpsKj,wDQxhhyAkEU,L7fYDcRuvOS,
uz9nfbom5PM,NEOIPC_BSI_TEMPERATURE_SET_COUNT,NeoIPC BSI Temperature set count,Sets NeoIPC BSI Temperature count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI Temperature set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,H1W4h5BKCm9,
veOW1SyAYX0,NEOIPC_BSI_UNLESS_NO_POS_CULTURE,NeoIPC BSI - unless no positive culture,"Adjusts the dialog when ""No positive culture"" is disabled.",expressions/programRules/NeoIPC BSI - unless no positive culture/condition.dhis2,,D8mSSpOpsKj,wDQxhhyAkEU,JJq9QisjHQP,
DFTJ8MRSqWH,NEOIPC_BSI_WHITE_BLOOD_CELL_COUNT_SET_COUNT,NeoIPC BSI White blood cell count set count,Sets NeoIPC BSI White blood cell count count to 1 if it is set to true.,expressions/programRules/NeoIPC BSI White blood cell count set count/condition.dhis2,0,D8mSSpOpsKj,wDQxhhyAkEU,daNfJVJx9Gm,
c0SJorJb5mJ,NEOIPC_HAP_AGENT_1_NAME_HAS_VAL,NeoIPC HAP Organism 1 - name has value,Sends a message when a custom name is entered as Organism 1 in the NeoIPC Core HAP dialog,expressions/programRules/NeoIPC HAP Organism 1 - name has value/condition.dhis2,9999,D8mSSpOpsKj,gS3zQzPpsgV,kzoXqjNgYYY,
LpLUO0ByiIO,NEOIPC_HAP_AGENT_2_NAME_HAS_VAL,NeoIPC HAP Organism 2 - name has value,Sends a message when a custom name is entered as Organism 2 in the NeoIPC Core HAP dialog,expressions/programRules/NeoIPC HAP Organism 2 - name has value/condition.dhis2,9999,D8mSSpOpsKj,gS3zQzPpsgV,Hl1iYPpUAj9,
BYoTioivN0t,NEOIPC_HAP_AGENT_3_NAME_HAS_VAL,NeoIPC HAP Organism 3 - name has value,Sends a message when a custom name is entered as Organism 3 in the NeoIPC Core HAP dialog,expressions/programRules/NeoIPC HAP Organism 3 - name has value/condition.dhis2,9999,D8mSSpOpsKj,gS3zQzPpsgV,Cla3O8Aj07N,
jNcz3fBOGOl,NEOIPC_HAP_BRADYCARDIA_VAL_TRUE,NeoIPC HAP Bradycardia value - true,"Adjusts the dialog and assigns variables when ""NeoIPC HAP Bradycardia value"" is true",expressions/programRules/NeoIPC HAP Bradycardia value - true/condition.dhis2,0,D8mSSpOpsKj,gS3zQzPpsgV,gxajYcmXPqX,
