id,code,name,managedGroups,sharing
EksssaYw4el,NEOIPC,NeoIPC,,PUBLIC_RW
yAwIZSlXWqA,NEOIPC_DATA_EDITORS,NeoIPC Data editors,,PUBLIC_RW
gIj3UEDeQyK,NEOIPC_PATHOGEN_LIST_ADMINS,"NeoIPC Pathogen-List admins ",,PUBLIC_RW
zMDKk4Hg20T,NEOIPC_SPAIN,NeoIPC Spain,,PUBLIC_RW
sYUratKexos,NEOIPC_TESTERS,NeoIPC Testers,,PUBLIC_RW
bKee8TbEslM,NEOIPC_USER_MANAGERS,NeoIPC User Managers,EksssaYw4el bKee8TbEslM sYUratKexos yAwIZSlXWqA,PUBLIC_RW
