id,code,name,shortName,dataElements,sharing
KelAc8IGGZG,NEOIPC_ADMISSION_INFO,NeoIPC Admission information,Admission info,rvq4L9wWbwW AgBqfnnsUzd,"{""public"":""rw------""}"
QrWRybByrKD,NEOIPC_BSI,NeoIPC Bloodstream infection,BSI,TKuYdRqfqC4 DaNS1ETTD3Z NjFq3pakY2I wgpBMLzukh9 nHtkCl6Er79 i4yQcpPDttA ER7WiNywdyP tj1LewUMIT5 UptqkgrbXy6 QWaa7sH9jIp Cl0jt4EHzvY tmLmPAMJ2XB Db0I00GuIv0 rzfND0l97Fl A639BT2Jccy iStHC3Ope8B pPsXwlpMj1s kjLgZFbq5fZ k4Yid4UsNLg oPIcLjRmNgC dogXmeDeHnc e39P0lfTptd aeua6ZD9pb7 OBC5BfcUwyg wlGi1qr9xYX bKcuBeH9kER sOb9CDCoAif OawTDq2eiv0 O3baDjV2eeW GzAudzVNO2H si9TqVvY3ZS T6TynP10m5Q Oy5f6YFFTdR vQxPyDZzK2K gvmTVfiIk2g S7Dulo4dt8O o8dpLIbHZPX fK8yWzyLp4I TsoCuWLh71j bIMRQhQt4ia ObnEVllso6d iQpOYLxp4eD tAx6dWqnOIx rIgNb8wNw5f mSf2s0OS0gP,"{""public"":""rw------""}"
Yeytz86gAmE,NEOIPC_HAP,NeoIPC Hospital-acquired pneumonia,NeoIPC HAP,bUNxV2zp4Lu sTrkGnTPDL2 s77aiscqcnx ljbFGymMZzt QSJW6kNk6pg Qh6VVUBAaK9 JOTOTIisCmU xN8O1GldXk2 K23m7eluWi0 uvcHUgCtACj vjSwdgu8l9s h8FpJvGQDfJ YdP1whGQD3c pO5IgMyNjGA Le2Q2CCPZAQ NZqoT6ZGuX2 cA8oyKJiPE0 QIlkIZDrbwn rmBJQ8KTYO5 J375l07wpEG ZHSjP6lwIKT EEW3ftnfLsb sVjCgMgfnKQ piqoBwxf7t8 o63deLmVeUI hZIGItoWMLG lJj9LgTZ9Gg D6z0jmhQnm5 VJwXpWNnhfK GIQw0w15XbC ZE5CrBaKy3f B1mZglttyWR fJ7RYtpawpg w1KkLwqzTtO cwtpTIICAQP l9AarKAD8qi n5wJQGsAUvB ZpwYoMtJea3 EnGuyxsI9P7 D8AJuofgF06 nvEHBVmPZpF KGjHtWcPkP9 qlMs9xUMEok HztFtyHuX7f UNYrrkrnjM4 MgaxJxTIi6Y Ii1DSs7ZGbT ydy9VLkNavJ XXUaWNIB6fS mUqRP4hDub9 Rm78R5c3pSg bIBORtrmPPh PvLENjS8Afi Z2GhKrAdO2c hZVH5YCOF47 boPV9RWoanT H6l5ZyB8EHo ZmlQ283oucZ,"{""public"":""rw------""}"
ELNOnyLZwDF,NEOIPC_NEC,NeoIPC Necrotising enterocolitis,NeoIPC NEC,vVI3Cks7WgS GlwA8737vfH hoUzjcTAS53 G7JBlB11D5B gGY64LFTCHE u0tZWVB3f3y ntOxPtrVkNx TXKgizEyv6g kqSndqsPCLA TGvIcZhfY4h TsgwL95UcPF mwbe730vMBu Oj69i3AeaPR YQVGiNDlXSk G7uFGI11Bdr aMA52Q2QgNk begrGxBPmKh Aawy9BpDWc2 WLSUlJPMueQ HKVzlJtMrqG U1r2eFwG4GP UQX3D0E9ARY JUwWBsov9Gr ijekJ6XPx9C CUlXZ8ETgJB N36tBx8ZMt6 g1LlkfHwHsY G2QJTHPk7W9 wYnfg9LtR1b acADmWAqwcP ijbkQJBXaFZ XBlDkgqZnr2 JEZhgQZLvqW nIqZE9xCVJ8 Ct7gBVqwScW,"{""public"":""rw------""}"
Nof3MSUsKTr,NEOIPC_SSI,NeoIPC Surgical site infection,NeoIPC SSI,cyCczC5xzaB hsF5jqkXCKW tIJkwzSh2Jt y89nfwG2uxQ ApLGHjC5unQ QmvUGbDIIIG xOjpebPJiOw zXmDLl7evqF ka6PN3C7sqr IhFtEkm3sE1 J9pWV2Y8fZS ztZ4Xwz7TJZ Au49L8nPTTv kMJlTTKr5VN lWflhXvq2ky rp3SK7xGfq9 gHkAMS4qCJV P38wa79hn0H TeH2t8tpUec v8zVGK2XmtI LsIl0YdRagx aglnLwvfXnj yq1kfbsLGiO SWwmWqVfFX4 wexW0dYfxQ7 asaXrcFOqqf YN4JnSouiXn jlRAgmCOuTI n0YMeniULF8 fMcSb5NQ1cH vNw0rqjhgW1 UDhuURrXmmX AWj4EtgLBRq snmuo3tXYtO fpFM0gQg4xc YHYi79E8xhN fynZ6sz6Di0 pXWj4HIcVEx XThKNkDmKsO HkACxREEfaT BRLJT6BGofr wfe6ZTkZ3Co JIR3JNfjMdz ADhrdzYPCo2 PodwECDyBas bFlYgfbmGBa TheHLmezGMF A3E5ORnXeDq aHdse5vKla6 j4h7viHO6lb fuupuDsZf9w bRwNwkGZDnx LZcPsWSgWnO GBZwcgTBsK2 pjakd2qB03P C6vqhkpgeWV WStwnGV1si8 kVNzBLpyrtc Bny6KnXTJZP tvGZ44rx0q1 XhcAt9NTFuG xJhCntfsvOT V4cZc41FDMf,"{""public"":""rw------""}"
Xv3T3V5HIFn,NEOIPC_SURGERY,NeoIPC Surgery,NeoIPC Surgery,Yu7iGKrtyeL pojfTuJ4RlC DTZ9HfILgnX VaJLazkIZ5E zPmHnqnPgpf ki0ykiLotTO OVCzlltgwNt mWLdYcsxiR6 aFchS2IgTuh vVHhhpB31DW lgO6BRWuni9 rIXwdgfrfkf BsacMxp5fja,"{""public"":""rw------""}"
Ld3aidM6lNG,NEOIPC_SURVEILLANCE_END_INFO,NeoIPC Surveillance end information,NeoIPC Surveillance end info,FKxg1geQ63L aMGLdSqblVP vlFLj6rwVgf s09IPGLg9gK Xxfb1GNXkvq ly90S8UYS9m U4ys5n9dSRR ibzxt9fBNQc nHIk8qJetwF kdhNnCUYk6P wxIOvNRgLIE eOJozPvY3My ZrBvuqbXY0I qPodJpROw1Q mRAdPplmm5a KKojgJK2Iqy wLoogTcqtUr b8MqWU4ekHD gnprl7LFye8 Z3GQcwMosHH UlbATrOcR61 miQ7lC4ByMv qVSSgJGFF4D huoQuMzJwgw qIJDIzrltAF gCZe3wijCy4 Xn8q3giOGcB XifsJyPuYfi,"{""public"":""rw------""}"
