id,code,name,shortName,formName,description,url,valueType,domainType,aggregationType,zeroIsSignificant,categoryCombo,optionSet,commentOptionSet,aggregationLevels,legendSets,sharing
h8FpJvGQDfJ,NEOIPC_HAP_LABORATORY_FINDINGS,NeoIPC HAP Laboratory findings,NeoIPC HAP Laboratory findings,Increased CRP/interleukin,There is at least one laboratory test result with a C-reactive protein (CRP) value of more than 20 mg/L (2 mg/dL) or an increased level of interleukin (IL) 6 or 8,,BOOLEAN,TRACKER,NONE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
f22ppOLUE5q,NEOIPC_HAP_LOS,NeoIPC HAP Length of Stay,NeoIPC HAP LOS,Day of occurrence after admission,The Length of Stay on which the pneumonia occurred. This field is calculated automatically.,,INTEGER_ZERO_OR_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
Z2GhKrAdO2c,NEOIPC_HAP_MICROBIOLOGICAL_TEST_RESULT,NeoIPC HAP Microbiological test result,NeoIPC HAP Microbiological test result,Culture/non-culture based microbiologic testing,Availability of test results from a culture- or non-culture based microbiologic test from the respiratory tract specimen.,,INTEGER,TRACKER,NONE,False,bjDvmb4bfuf,TnE2yuSrqEP,,,,PUBLIC_RW
s77aiscqcnx,NEOIPC_HAP_PURULENT_TRACHEAL_ASPIRATE,NeoIPC HAP Purulent tracheal aspirate,NeoIPC HAP Purulent tracheal aspirate,Purulent tracheal aspirate,Purulent tracheal aspirate,,BOOLEAN,TRACKER,NONE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
Ii1DSs7ZGbT,NEOIPC_HAP_RESPIRATORY_DISTRESS,NeoIPC HAP Respiratory distress,NeoIPC HAP Respiratory distress,Respiratory distress,"New or more frequent symptoms of respiratory distress (retractions, nasal flaring, grunting).",,BOOLEAN,TRACKER,NONE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
sTrkGnTPDL2,NEOIPC_HAP_RESPIRATORY_SUPPORT,NeoIPC HAP Respiratory support,NeoIPC HAP Respiratory support,Beginning or increase in respiratory support,New initiation of respiratory support or escalation of existing level of respiratory support* for ≥ 2 days after at least two days of stability.,,BOOLEAN,TRACKER,NONE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
uvcHUgCtACj,NEOIPC_HAP_SECONDARY_BSI,NeoIPC HAP Secondary bloodstream infection,NeoIPC HAP Sec. BSI,Secondary bloodstream infection,"A BSI that is thought to be seeded from this hospital-acquired pneumonia. A BSI can be attributed to a site-specific infection (in this case the hospital-acquired pneumonia) if it occurs in a 17-day period that includes the day of infection (=first symptoms of site-specific infection), 3 days prior, and 13 days after.",,INTEGER,TRACKER,NONE,True,bjDvmb4bfuf,KfIEzWRibj7,,,,PUBLIC_RW
cA8oyKJiPE0,NEOIPC_HAP_TACHYPNOEA,NeoIPC HAP Tachypnoea,NeoIPC HAP Tachypnoea,Tachypnoea/Apnoeas,"New or increased frequency of episodes of apnea lasting more than 20 seconds, or new or more frequent tachypnoea (>60/min).",,BOOLEAN,TRACKER,NONE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
JUwWBsov9Gr,NEOIPC_NEC_ABDOMINAL_DISTENSION,NeoIPC NEC Abdominal distension,NeoIPC NEC Abdominal distension,Abdominal distension,Distended abdomen.,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
XBlDkgqZnr2,NEOIPC_NEC_ABDOMINAL_SKIN_TONE,NeoIPC NEC Abdominal discoloration,NeoIPC NEC Abdominal discoloration,Abdominal discoloration,Abdominal discoloration or shiny/reddish skin tone.,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
hoUzjcTAS53,NEOIPC_NEC_BILIOUS_ASPIRATE,NeoIPC NEC Bilious gastric aspirate,NeoIPC NEC Bilious aspirate,Bilious gastric aspirate,Bilious gastric aspirate (not from transpyloric feeding tube).,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
G2QJTHPk7W9,NEOIPC_NEC_BLOODY_STOOLS,NeoIPC NEC Blood in stool,NeoIPC NEC Blood in stool,Occult or visible blood in stool,Repeated occult (guaiac test) or visible blood in stool (no anal fissure).,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
GlwA8737vfH,NEOIPC_NEC_BOWEL_NECROSIS,NeoIPC NEC Extensive bowel necrosis,NeoIPC NEC Extensive bowel necrosis,Extensive bowel necrosis,Surgical or pathologic finding of extensive bowel necrosis (>2 cm bowel affected).,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
Ct7gBVqwScW,NEOIPC_NEC_DOL,NeoIPC NEC Day of life,NeoIPC NEC DOL,Day of life,The day of life on which the NEC occurred. This field is calculated automatically.,,INTEGER_POSITIVE,TRACKER,AVERAGE,False,bjDvmb4bfuf,,,,,PUBLIC_RW
aMA52Q2QgNk,NEOIPC_NEC_FIXED_LOOP,NeoIPC NEC Fixed bowel loops,NeoIPC NEC Fixed bowel loops,Fixed bowel loops,Fixed bowel loops (>= 24h).,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
ijbkQJBXaFZ,NEOIPC_NEC_GASTRIC_RESIDUALS,NeoIPC NEC Increased gastric residuals,NeoIPC NEC Increased gastric residuals,Previous feeding residuals,Increased gastric residuals from previous feeding.,,BOOLEAN,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
t4xpFiZeCHK,NEOIPC_NEC_LOS,"NeoIPC NEC Length of Stay ",NeoIPC NEC LOS,Day of occurrence after admission,The Length of Stay on which the NEC occurred. This field is calculated automatically.,,INTEGER_ZERO_OR_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,PUBLIC_RW
